split,method,route_id,base_instance,n_customers,network_group,feasible,reason,completion_time,n_station_visits,n_station_revisits,consecutive_same_station,loop_guard_hit,return_value,horizon,n_continue,n_charge
train,GreedyMinimumSufficientCharge,rc104C25_NL__v1,rc104,8,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,2,0,0,False,-294.9427739134882,240.0,7,2
train,GreedyMinimumSufficientCharge,rc104C25_NL__v2,rc104,6,Medium_Network,False,ZERO_CHARGE_NOOP,240.0,7,0,0,False,-318.10724264184853,240.0,4,7
train,GreedyMinimumSufficientCharge,rc104C25_NL__v3,rc104,6,Medium_Network,False,ZERO_CHARGE_NOOP,240.0,3,0,0,False,-201.92113447068044,240.0,6,3
train,GreedyMinimumSufficientCharge,rc106C25_NL__v0,rc106,6,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,1,0,0,False,-257.11724276862367,240.0,6,1
train,GreedyMinimumSufficientCharge,rc106C25_NL__v1,rc106,5,Medium_Network,False,ZERO_CHARGE_NOOP,240.0,13,0,0,False,-332.4032316669442,240.0,4,13
train,GreedyMinimumSufficientCharge,rc106C25_NL__v2,rc106,5,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,0,0,0,False,-306.41966070458705,240.0,3,0
train,GreedyMinimumSufficientCharge,rc106C25_NL__v3,rc106,4,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,3,0,0,False,-298.67620816560026,240.0,3,3
train,GreedyMinimumSufficientCharge,rc106C25_NL__v4,rc106,5,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,0,0,0,False,-286.6996332582443,240.0,4,0
train,GreedyMinimumSufficientCharge,c104C10_L__v0,c104,10,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0,False,-2040.6740777431735,1236.0,3,0
train,GreedyMinimumSufficientCharge,c104C10_NL__v0,c104,10,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,2,0,0,False,-1910.3627890016808,1236.0,4,2
train,GreedyMinimumSufficientCharge,c104C10_VG__v0,c104,10,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,2,0,0,False,-1910.3627890016808,1236.0,4,2
train,GreedyMinimumSufficientCharge,r103C10_L__v0,r103,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-311.648486196566,230.0,3,0
train,GreedyMinimumSufficientCharge,r103C10_L__v1,r103,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0,False,-265.0997512422418,230.0,4,1
train,GreedyMinimumSufficientCharge,r103C10_NL__v0,r103,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-311.648486196566,230.0,3,0
train,GreedyMinimumSufficientCharge,r103C10_NL__v1,r103,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-235.0,230.0,5,0
train,GreedyMinimumSufficientCharge,r103C10_VG__v0,r103,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-293.58622844826743,230.0,4,0
train,GreedyMinimumSufficientCharge,r103C10_VG__v1,r103,5,Small_Network,False,ZERO_CHARGE_NOOP,230.0,1,0,0,False,-234.18861169915812,230.0,4,1
train,GreedyMinimumSufficientCharge,r203C10_L__v0,r203,10,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,1,0,0,False,-1200.2876118484023,1000.0,5,1
train,GreedyMinimumSufficientCharge,r203C10_NL__v0,r203,10,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,0,0,0,False,-1200.2876118484023,1000.0,5,0
train,GreedyMinimumSufficientCharge,r203C10_VG__v0,r203,10,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,1,0,0,False,-1200.2876118484023,1000.0,5,1
train,GreedyMinimumSufficientCharge,rc201C10_L__v0,rc201,10,Small_Network,False,NO_FEASIBLE_ACTION,960.0,1,0,0,False,-1349.3098025292245,960.0,2,1
train,GreedyMinimumSufficientCharge,rc201C10_NL__v0,rc201,10,Small_Network,False,NO_FEASIBLE_ACTION,960.0,1,0,0,False,-1349.3098025292245,960.0,2,1
train,GreedyMinimumSufficientCharge,rc201C10_VG__v0,rc201,10,Small_Network,False,NO_FEASIBLE_ACTION,960.0,1,0,0,False,-1349.3098025292247,960.0,2,1
train,GreedyMinimumSufficientCharge,c103C15_L__v0,c103,7,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0,False,-1579.4880242630243,1236.0,4,1
train,GreedyMinimumSufficientCharge,c103C15_L__v1,c103,8,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0,False,-1686.8338352681671,1236.0,4,1
train,GreedyMinimumSufficientCharge,c103C15_NL__v0,c103,7,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,4,0,0,False,-1714.4101791534567,1236.0,3,4
train,GreedyMinimumSufficientCharge,c103C15_NL__v1,c103,8,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,2,0,0,False,-1591.8338352681671,1236.0,5,2
train,GreedyMinimumSufficientCharge,c103C15_VG__v0,c103,7,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,4,0,0,False,-1933.3059045576872,1236.0,1,4
train,GreedyMinimumSufficientCharge,c103C15_VG__v1,c103,8,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0,False,-1591.8338352681671,1236.0,5,1
train,GreedyMinimumSufficientCharge,c106C15_L__v0,c106,7,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0,False,-1680.0775581979156,1236.0,3,0
train,GreedyMinimumSufficientCharge,c106C15_L__v1,c106,8,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0,False,-1557.1850415144693,1236.0,5,0
train,GreedyMinimumSufficientCharge,c106C15_NL__v0,c106,7,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0,False,-1680.0775581979156,1236.0,3,0
train,GreedyMinimumSufficientCharge,c106C15_NL__v1,c106,8,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,2,0,0,False,-1747.2472992627677,1236.0,3,2
train,GreedyMinimumSufficientCharge,c106C15_VG__v0,c106,7,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0,False,-1680.0775581979156,1236.0,3,1
train,GreedyMinimumSufficientCharge,c106C15_VG__v1,c106,8,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0,False,-1762.9547701624788,1236.0,3,0
train,GreedyMinimumSufficientCharge,c208C15_L__v0,c208,15,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,0,0,0,False,-4710.172921655155,3390.0,3,0
train,GreedyMinimumSufficientCharge,c208C15_NL__v0,c208,15,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,2,0,0,False,-4641.069205802892,3390.0,4,2
train,GreedyMinimumSufficientCharge,c208C15_VG__v0,c208,15,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,2,0,0,False,-4641.069205802892,3390.0,4,2
train,GreedyMinimumSufficientCharge,r105C15_L__v0,r105,6,Small_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0,False,-309.61556760545693,230.0,4,1
train,GreedyMinimumSufficientCharge,r105C15_L__v1,r105,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-289.8855702072658,230.0,3,0
train,GreedyMinimumSufficientCharge,r105C15_L__v2,r105,4,Small_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0,False,-236.32455532033677,230.0,4,1
train,GreedyMinimumSufficientCharge,r105C15_NL__v0,r105,6,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-352.43658257148525,230.0,2,0
train,GreedyMinimumSufficientCharge,r105C15_NL__v1,r105,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,5,0,0,False,-312.36502754508,230.0,3,5
train,GreedyMinimumSufficientCharge,r105C15_NL__v2,r105,4,Small_Network,False,NO_FEASIBLE_ACTION,230.0,3,0,0,False,-252.6491106406735,230.0,3,3
train,GreedyMinimumSufficientCharge,r105C15_VG__v0,r105,6,Small_Network,False,ZERO_CHARGE_NOOP,230.0,3,0,0,False,-404.45324692397986,230.0,1,3
train,GreedyMinimumSufficientCharge,r105C15_VG__v1,r105,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,6,0,0,False,-312.36502754508,230.0,3,6
train,GreedyMinimumSufficientCharge,r105C15_VG__v2,r105,4,Small_Network,False,NO_FEASIBLE_ACTION,230.0,4,0,0,False,-277.94733192202057,230.0,3,4
train,GreedyMinimumSufficientCharge,r202C15_L__v0,r202,15,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,1,0,0,False,-1460.5452126196,1000.0,3,1
train,GreedyMinimumSufficientCharge,r202C15_NL__v0,r202,15,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,5,0,0,False,-1515.800046615539,1000.0,2,5
train,GreedyMinimumSufficientCharge,r202C15_VG__v0,r202,15,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,7,0,0,False,-1368.4036378125174,1000.0,5,7
train,GreedyMinimumSufficientCharge,rc103C15_L__v0,rc103,5,Small_Network,False,NO_FEASIBLE_ACTION,240.0,0,0,0,False,-285.8654172888031,240.0,4,0
train,GreedyMinimumSufficientCharge,rc103C15_L__v1,rc103,4,Small_Network,False,NO_FEASIBLE_ACTION,240.0,1,0,0,False,-347.1841989932485,240.0,2,1
train,GreedyMinimumSufficientCharge,rc103C15_L__v2,rc103,6,Small_Network,False,NO_FEASIBLE_ACTION,240.0,0,0,0,False,-319.15475947422647,240.0,4,0
train,GreedyMinimumSufficientCharge,rc103C15_NL__v0,rc103,5,Small_Network,False,NO_FEASIBLE_ACTION,240.0,2,0,0,False,-341.5600559239865,240.0,3,2
train,GreedyMinimumSufficientCharge,rc103C15_NL__v1,rc103,4,Small_Network,False,NO_FEASIBLE_ACTION,240.0,0,0,0,False,-347.1841989932485,240.0,2,0
train,GreedyMinimumSufficientCharge,rc103C15_NL__v2,rc103,6,Small_Network,False,NO_FEASIBLE_ACTION,240.0,4,0,0,False,-420.43903072168837,240.0,2,4
train,GreedyMinimumSufficientCharge,rc103C15_VG__v0,rc103,5,Small_Network,False,NO_FEASIBLE_ACTION,240.0,3,0,0,False,-341.5600559239865,240.0,3,3
train,GreedyMinimumSufficientCharge,rc103C15_VG__v1,rc103,4,Small_Network,False,NO_FEASIBLE_ACTION,240.0,4,0,0,False,-358.49636651596086,240.0,3,4
train,GreedyMinimumSufficientCharge,rc103C15_VG__v2,rc103,6,Small_Network,False,ZERO_CHARGE_NOOP,240.0,2,0,0,False,-376.24973903051955,240.0,2,2
train,GreedyMinimumSufficientCharge,rc202C15_L__v0,rc202,15,Small_Network,False,NO_FEASIBLE_ACTION,960.0,1,0,0,False,-1609.7461038684678,960.0,2,1
train,GreedyMinimumSufficientCharge,rc202C15_NL__v0,rc202,15,Small_Network,False,NO_FEASIBLE_ACTION,960.0,2,0,0,False,-1576.6593111072375,960.0,3,2
train,GreedyMinimumSufficientCharge,rc202C15_VG__v0,rc202,15,Small_Network,False,ZERO_CHARGE_NOOP,960.0,0,0,0,False,-1656.4518413344965,960.0,1,0
train,GreedyMinimumSufficientCharge,rc204C15_L__v0,rc204,15,Small_Network,False,NO_FEASIBLE_ACTION,960.0,0,0,0,False,-1326.2505401544913,960.0,3,0
train,GreedyMinimumSufficientCharge,rc204C15_NL__v0,rc204,15,Small_Network,False,NO_FEASIBLE_ACTION,960.0,3,0,0,False,-1251.4977432543296,960.0,6,3
train,GreedyMinimumSufficientCharge,rc204C15_VG__v0,rc204,15,Small_Network,False,NO_FEASIBLE_ACTION,960.0,6,0,0,False,-1205.0971938079272,960.0,7,6
train,GreedyMinimumSufficientCharge,c103C5_L__v0,c103,5,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0,False,-1621.6155142875664,1236.0,2,0
train,GreedyMinimumSufficientCharge,c103C5_NL__v0,c103,5,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0,False,-1621.6155142875664,1236.0,2,0
train,GreedyMinimumSufficientCharge,c103C5_VG__v0,c103,5,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0,False,-1621.6155142875664,1236.0,2,0
train,GreedyMinimumSufficientCharge,c206C5_L__v0,c206,5,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,1,0,0,False,-3724.647246210014,3390.0,3,1
train,GreedyMinimumSufficientCharge,c206C5_NL__v0,c206,5,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,3,0,0,False,-3585.8210237470794,3390.0,4,3
train,GreedyMinimumSufficientCharge,c206C5_VG__v0,c206,5,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,3,0,0,False,-3933.0761633796055,3390.0,1,3
train,GreedyMinimumSufficientCharge,c208C5_L__v0,c208,5,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,1,0,0,False,-3430.3112887414927,3390.0,5,1
train,GreedyMinimumSufficientCharge,c208C5_NL__v0,c208,5,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,1,0,0,False,-3430.3112887414927,3390.0,5,1
train,GreedyMinimumSufficientCharge,c208C5_VG__v0,c208,5,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,1,0,0,False,-3430.3112887414927,3390.0,5,1
train,GreedyMinimumSufficientCharge,r104C5_L__v0,r104,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0,False,-286.10160904726786,230.0,3,1
train,GreedyMinimumSufficientCharge,r104C5_NL__v0,r104,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,5,0,0,False,-323.74391590092546,230.0,3,5
train,GreedyMinimumSufficientCharge,r104C5_VG__v0,r104,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-352.74081808129307,230.0,2,0
train,GreedyMinimumSufficientCharge,r105C5_L__v0,r105,2,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-236.32455532033674,230.0,2,0
train,GreedyMinimumSufficientCharge,r105C5_L__v1,r105,3,Small_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0,False,-266.04640863481745,230.0,2,1
train,GreedyMinimumSufficientCharge,r105C5_NL__v0,r105,2,Small_Network,False,NO_FEASIBLE_ACTION,230.0,2,0,0,False,-252.6491106406735,230.0,1,2
train,GreedyMinimumSufficientCharge,r105C5_NL__v1,r105,3,Small_Network,False,NO_FEASIBLE_ACTION,230.0,2,0,0,False,-282.7546125673168,230.0,1,2
train,GreedyMinimumSufficientCharge,r105C5_VG__v0,r105,2,Small_Network,False,NO_FEASIBLE_ACTION,230.0,2,0,0,False,-252.6491106406735,230.0,1,2
train,GreedyMinimumSufficientCharge,r105C5_VG__v1,r105,3,Small_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0,False,-301.65890558454885,230.0,1,1
train,GreedyMinimumSufficientCharge,r202C5_L__v0,r202,5,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,0,0,0,False,-1109.1615891833942,1000.0,2,0
train,GreedyMinimumSufficientCharge,r202C5_NL__v0,r202,5,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,0,0,0,False,-1109.1615891833942,1000.0,2,0
train,GreedyMinimumSufficientCharge,r202C5_VG__v0,r202,5,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,0,0,0,False,-1109.1615891833942,1000.0,2,0
train,GreedyMinimumSufficientCharge,r203C5_L__v0,r203,5,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,1,0,0,False,-1145.3907465380494,1000.0,2,1
train,GreedyMinimumSufficientCharge,r203C5_NL__v0,r203,5,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,0,0,0,False,-1184.5111860951715,1000.0,1,0
train,GreedyMinimumSufficientCharge,r203C5_VG__v0,r203,5,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,4,0,0,False,-1145.3907465380494,1000.0,2,4
train,GreedyMinimumSufficientCharge,rc105C5_L__v0,rc105,3,Small_Network,False,NO_FEASIBLE_ACTION,240.0,1,0,0,False,-326.85564909640146,240.0,1,1
train,GreedyMinimumSufficientCharge,rc105C5_L__v1,rc105,2,Small_Network,False,NO_FEASIBLE_ACTION,240.0,0,0,0,False,-275.0,240.0,2,0
train,GreedyMinimumSufficientCharge,rc105C5_NL__v0,rc105,3,Small_Network,False,NO_FEASIBLE_ACTION,240.0,3,0,0,False,-327.1985103520034,240.0,1,3
train,GreedyMinimumSufficientCharge,rc105C5_NL__v1,rc105,2,Small_Network,True,,186.789723176793,1,0,0,False,-186.789723176793,240.0,3,1
train,GreedyMinimumSufficientCharge,rc105C5_VG__v0,rc105,3,Small_Network,False,ZERO_CHARGE_NOOP,240.0,2,0,0,False,-303.1776860530748,240.0,1,2
train,GreedyMinimumSufficientCharge,rc105C5_VG__v1,rc105,2,Small_Network,True,,187.93394237415416,1,0,0,False,-187.93394237415416,240.0,3,1
train,GreedyMinimumSufficientCharge,rc204C5_L__v0,rc204,5,Small_Network,False,NO_FEASIBLE_ACTION,960.0,1,0,0,False,-1026.4557194183137,960.0,3,1
train,GreedyMinimumSufficientCharge,rc204C5_NL__v0,rc204,5,Small_Network,False,NO_FEASIBLE_ACTION,960.0,2,0,0,False,-1026.4557194183137,960.0,3,2
train,GreedyMinimumSufficientCharge,rc204C5_VG__v0,rc204,5,Small_Network,False,NO_FEASIBLE_ACTION,960.0,6,0,0,False,-1060.1025639698826,960.0,3,6
train,GreedyFullCharge,c102_50_21_NL__v0,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,21,0,0,False,-2023.8004873681484,1236.0,3,21
train,GreedyFullCharge,c102_50_21_NL__v1,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,23,0,0,False,-2077.914536878187,1236.0,3,23
train,GreedyFullCharge,c102_50_21_NL__v2,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,21,0,0,False,-2177.7221606883822,1236.0,2,21
train,GreedyFullCharge,c102_50_21_NL__v3,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,22,0,0,False,-1725.6771829705688,1236.0,6,22
train,GreedyFullCharge,c102_50_21_NL__v4,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0,False,-1634.2860182378315,1236.0,6,0
train,GreedyFullCharge,r107_50_21_NL__v0,r107,11,Large_Network,False,ZERO_CHARGE_NOOP,230.0,3,0,0,False,-388.96824598565746,230.0,4,3
train,GreedyFullCharge,r107_50_21_NL__v1,r107,7,Large_Network,False,ZERO_CHARGE_NOOP,230.0,2,0,0,False,-289.2476271839306,230.0,4,2
train,GreedyFullCharge,r107_50_21_NL__v2,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-365.3228310885039,230.0,3,0
train,GreedyFullCharge,r107_50_21_NL__v3,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-326.3076606843274,230.0,4,0
train,GreedyFullCharge,r107_50_21_NL__v4,r107,8,Large_Network,False,ZERO_CHARGE_NOOP,230.0,3,0,0,False,-366.9925225702426,230.0,2,3
train,GreedyFullCharge,r107_50_21_NL__v5,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-312.7202064553621,230.0,5,0
train,GreedyFullCharge,c102C25_NL__v0,c102,9,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,21,0,0,False,-2074.3764581644127,1236.0,2,21
train,GreedyFullCharge,c102C25_NL__v1,c102,8,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,22,0,0,False,-1632.7140551661855,1236.0,5,22
train,GreedyFullCharge,c102C25_NL__v2,c102,8,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,23,0,0,False,-1866.1382273082227,1236.0,3,23
train,GreedyFullCharge,c104C25_NL__v0,c104,8,Medium_Network,False,ZERO_CHARGE_NOOP,1236.0,14,0,0,False,-1390.4446374341246,1236.0,7,14
train,GreedyFullCharge,c104C25_NL__v1,c104,9,Medium_Network,False,ZERO_CHARGE_NOOP,1236.0,18,0,0,False,-1834.4455146494352,1236.0,4,18
train,GreedyFullCharge,c104C25_NL__v2,c104,8,Medium_Network,False,ZERO_CHARGE_NOOP,1236.0,12,0,0,False,-1359.5269315211742,1236.0,7,12
train,GreedyFullCharge,r104C25_NL__v0,r104,9,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,3,0,0,False,-305.72460841328865,230.0,6,3
train,GreedyFullCharge,r104C25_NL__v1,r104,7,Medium_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-300.7439606799677,230.0,6,0
train,GreedyFullCharge,r104C25_NL__v2,r104,9,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,0,0,0,False,-433.8809013552895,230.0,0,0
train,GreedyFullCharge,r107C25_NL__v0,r107,7,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,11,0,0,False,-268.1513405875097,230.0,6,11
train,GreedyFullCharge,r107C25_NL__v1,r107,7,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,0,0,0,False,-419.06483881789205,230.0,0,0
train,GreedyFullCharge,r107C25_NL__v2,r107,7,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,3,0,0,False,-354.16387776390764,230.0,3,3
train,GreedyFullCharge,r107C25_NL__v3,r107,4,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,10,0,0,False,-297.23566480203743,230.0,3,10
train,GreedyFullCharge,rc101C25_NL__v0,rc101,3,Medium_Network,False,ZERO_CHARGE_NOOP,240.0,7,0,0,False,-327.5204458563868,240.0,2,7
