Total Episodes: 135672
Total Time: 673.4 min
Final Epsilon: 0.0100
Mean Reward: -0.42 +/- 0.18
Best Reward: -0.14
Worst Reward: -1.29

======================================================================
Epoch   Mean        Std       Min       Max       Epsilon   
======================================================================
1       -0.56       0.20      -1.16     -0.18     0.9868    
2       -0.54       0.18      -1.02     -0.20     0.9736    
3       -0.56       0.19      -1.05     -0.18     0.9605    
4       -0.55       0.18      -0.98     -0.19     0.9477    
5       -0.55       0.17      -1.08     -0.25     0.9348    
6       -0.54       0.19      -1.15     -0.18     0.9223    
7       -0.53       0.16      -1.08     -0.22     0.9098    
8       -0.52       0.18      -1.08     -0.16     0.8973    
9       -0.51       0.18      -1.02     -0.19     0.8852    
10      -0.52       0.18      -1.00     -0.17     0.8734    
11      -0.55       0.19      -1.06     -0.17     0.8617    
12      -0.53       0.19      -1.08     -0.20     0.8502    
13      -0.55       0.20      -1.10     -0.20     0.8389    
14      -0.55       0.18      -1.05     -0.22     0.8277    
15      -0.50       0.18      -1.12     -0.19     0.8164    
16      -0.51       0.18      -0.94     -0.18     0.8054    
17      -0.51       0.17      -1.03     -0.20     0.7947    
18      -0.49       0.16      -1.10     -0.22     0.7840    
19      -0.51       0.20      -1.01     -0.18     0.7736    
20      -0.50       0.19      -0.99     -0.17     0.7632    
21      -0.49       0.17      -1.01     -0.20     0.7529    
22      -0.50       0.19      -0.99     -0.15     0.7427    
23      -0.51       0.18      -1.07     -0.17     0.7328    
24      -0.49       0.18      -1.03     -0.15     0.7229    
25      -0.53       0.19      -0.98     -0.17     0.7133    
26      -0.51       0.18      -1.02     -0.18     0.7036    
27      -0.50       0.17      -1.06     -0.22     0.6939    
28      -0.50       0.19      -1.04     -0.20     0.6845    
29      -0.47       0.18      -1.04     -0.16     0.6751    
30      -0.48       0.19      -0.99     -0.20     0.6661    
31      -0.50       0.19      -1.00     -0.20     0.6572    
32      -0.50       0.18      -0.97     -0.20     0.6484    
33      -0.47       0.17      -1.04     -0.19     0.6395    
34      -0.48       0.18      -1.01     -0.18     0.6309    
35      -0.46       0.17      -0.97     -0.19     0.6225    
36      -0.48       0.17      -1.09     -0.23     0.6141    
37      -0.47       0.17      -0.91     -0.16     0.6059    
38      -0.46       0.16      -0.98     -0.14     0.5977    
39      -0.48       0.17      -1.00     -0.20     0.5897    
40      -0.47       0.18      -1.03     -0.18     0.5817    
41      -0.46       0.18      -0.89     -0.18     0.5738    
42      -0.45       0.18      -1.00     -0.18     0.5660    
43      -0.46       0.19      -1.09     -0.20     0.5585    
44      -0.48       0.19      -1.04     -0.18     0.5510    
45      -0.49       0.18      -1.04     -0.22     0.5435    
46      -0.46       0.17      -0.94     -0.16     0.5361    
47      -0.45       0.19      -1.03     -0.16     0.5288    
48      -0.46       0.18      -0.93     -0.19     0.5217    
49      -0.47       0.18      -0.98     -0.20     0.5149    
50      -0.46       0.18      -0.96     -0.18     0.5078    
51      -0.45       0.17      -0.90     -0.18     0.5012    
52      -0.44       0.19      -1.03     -0.16     0.4943    
53      -0.46       0.19      -0.88     -0.16     0.4876    
54      -0.45       0.18      -0.93     -0.18     0.4810    
55      -0.45       0.19      -1.02     -0.16     0.4744    
56      -0.43       0.20      -0.93     -0.16     0.4680    
57      -0.45       0.17      -1.00     -0.20     0.4618    
58      -0.44       0.17      -0.92     -0.20     0.4556    
59      -0.45       0.19      -1.13     -0.20     0.4494    
60      -0.42       0.18      -1.03     -0.18     0.4433    
61      -0.47       0.17      -0.91     -0.20     0.4374    
62      -0.45       0.19      -0.91     -0.18     0.4315    
63      -0.44       0.17      -0.92     -0.20     0.4257    
64      -0.44       0.18      -0.97     -0.18     0.4199    
65      -0.44       0.18      -0.97     -0.19     0.4142    
66      -0.43       0.16      -1.01     -0.18     0.4086    
67      -0.42       0.18      -0.91     -0.18     0.4030    
68      -0.45       0.17      -1.05     -0.19     0.3976    
69      -0.42       0.16      -0.98     -0.18     0.3923    
70      -0.43       0.17      -0.88     -0.16     0.3870    
71      -0.46       0.17      -0.93     -0.18     0.3818    
72      -0.40       0.17      -0.88     -0.18     0.3767    
73      -0.42       0.16      -0.98     -0.22     0.3716    
74      -0.44       0.19      -0.98     -0.17     0.3666    
75      -0.42       0.17      -0.85     -0.15     0.3617    
76      -0.43       0.18      -0.89     -0.19     0.3568    
77      -0.42       0.18      -0.87     -0.16     0.3519    
78      -0.40       0.19      -1.07     -0.16     0.3471    
79      -0.45       0.17      -0.96     -0.20     0.3425    
80      -0.44       0.17      -0.95     -0.20     0.3379    
81      -0.45       0.18      -0.94     -0.21     0.3334    
82      -0.41       0.17      -0.86     -0.17     0.3290    
83      -0.39       0.16      -1.07     -0.20     0.3245    
84      -0.42       0.19      -1.12     -0.18     0.3202    
85      -0.43       0.17      -0.96     -0.18     0.3159    
86      -0.45       0.17      -0.88     -0.14     0.3117    
87      -0.41       0.16      -0.94     -0.18     0.3075    
88      -0.44       0.18      -1.02     -0.17     0.3034    
89      -0.43       0.18      -0.93     -0.20     0.2994    
90      -0.44       0.17      -0.94     -0.18     0.2953    
91      -0.43       0.18      -1.00     -0.14     0.2914    
92      -0.44       0.18      -1.04     -0.19     0.2875    
93      -0.39       0.17      -0.87     -0.16     0.2836    
94      -0.41       0.17      -0.94     -0.16     0.2797    
95      -0.42       0.16      -0.90     -0.16     0.2759    
96      -0.40       0.18      -1.03     -0.16     0.2720    
97      -0.42       0.17      -1.01     -0.17     0.2684    
98      -0.39       0.17      -0.90     -0.16     0.2648    
99      -0.42       0.18      -0.98     -0.19     0.2612    
100     -0.43       0.17      -0.93     -0.14     0.2577    
101     -0.40       0.16      -0.96     -0.18     0.2541    
102     -0.41       0.17      -1.01     -0.19     0.2507    
103     -0.39       0.17      -0.90     -0.16     0.2473    
104     -0.41       0.18      -1.04     -0.17     0.2440    
105     -0.39       0.18      -0.97     -0.16     0.2407    
106     -0.41       0.17      -0.87     -0.20     0.2374    
107     -0.38       0.16      -0.93     -0.19     0.2342    
108     -0.41       0.18      -0.94     -0.18     0.2310    
109     -0.44       0.18      -0.98     -0.18     0.2279    
110     -0.41       0.17      -0.95     -0.14     0.2249    
111     -0.42       0.17      -0.87     -0.17     0.2219    
112     -0.40       0.17      -0.97     -0.16     0.2189    
113     -0.38       0.19      -1.07     -0.16     0.2160    
114     -0.41       0.17      -0.90     -0.16     0.2130    
115     -0.38       0.15      -0.80     -0.20     0.2102    
116     -0.41       0.18      -0.91     -0.18     0.2074    
117     -0.38       0.16      -0.91     -0.16     0.2046    
118     -0.39       0.17      -0.86     -0.14     0.2018    
119     -0.42       0.18      -0.85     -0.17     0.1991    
120     -0.41       0.19      -0.96     -0.18     0.1965    
121     -0.39       0.17      -0.89     -0.19     0.1938    
122     -0.37       0.15      -0.78     -0.18     0.1912    
123     -0.39       0.15      -0.82     -0.17     0.1886    
124     -0.39       0.17      -0.90     -0.18     0.1860    
125     -0.35       0.16      -0.83     -0.19     0.1835    
126     -0.40       0.17      -0.78     -0.19     0.1810    
127     -0.40       0.16      -0.91     -0.18     0.1786    
128     -0.37       0.16      -0.83     -0.17     0.1761    
129     -0.37       0.16      -0.78     -0.16     0.1737    
130     -0.38       0.17      -0.92     -0.18     0.1714    
131     -0.38       0.16      -1.08     -0.14     0.1691    
132     -0.37       0.16      -0.90     -0.17     0.1668    
133     -0.38       0.15      -0.89     -0.18     0.1645    
134     -0.41       0.16      -0.91     -0.14     0.1623    
135     -0.36       0.16      -0.85     -0.16     0.1600    
136     -0.41       0.18      -1.01     -0.18     0.1579    
137     -0.36       0.17      -0.86     -0.16     0.1557    
138     -0.38       0.17      -0.94     -0.18     0.1536    
139     -0.38       0.16      -1.03     -0.21     0.1515    
140     -0.38       0.15      -0.83     -0.20     0.1495    
141     -0.39       0.18      -0.87     -0.20     0.1475    
142     -0.40       0.16      -0.83     -0.18     0.1455    
143     -0.37       0.16      -0.77     -0.16     0.1435    
144     -0.41       0.16      -0.90     -0.17     0.1416    
145     -0.38       0.17      -0.87     -0.20     0.1397    
146     -0.41       0.17      -0.90     -0.18     0.1378    
147     -0.38       0.16      -0.92     -0.16     0.1360    
148     -0.37       0.16      -0.92     -0.18     0.1341    
149     -0.41       0.17      -0.87     -0.19     0.1323    
150     -0.37       0.15      -0.93     -0.16     0.1305    
151     -0.37       0.18      -1.09     -0.16     0.1287    
152     -0.38       0.17      -0.91     -0.19     0.1270    
153     -0.40       0.17      -0.88     -0.17     0.1253    
154     -0.40       0.17      -0.93     -0.19     0.1236    
155     -0.38       0.15      -0.79     -0.18     0.1220    
156     -0.37       0.14      -0.79     -0.18     0.1203    
157     -0.37       0.16      -0.91     -0.16     0.1186    
158     -0.40       0.15      -0.81     -0.18     0.1170    
159     -0.37       0.16      -0.85     -0.17     0.1154    
160     -0.39       0.17      -0.89     -0.18     0.1139    
161     -0.38       0.15      -0.90     -0.17     0.1124    
162     -0.36       0.14      -0.79     -0.17     0.1108    
163     -0.39       0.19      -0.97     -0.19     0.1093    
164     -0.38       0.16      -0.85     -0.18     0.1079    
165     -0.35       0.17      -1.07     -0.16     0.1064    
166     -0.36       0.18      -0.91     -0.16     0.1049    
167     -0.40       0.16      -0.90     -0.16     0.1035    
168     -0.36       0.13      -0.94     -0.17     0.1021    
169     -0.39       0.17      -0.90     -0.19     0.1007    
170     -0.37       0.14      -0.94     -0.16     0.0993    
171     -0.39       0.17      -0.97     -0.14     0.0980    
172     -0.36       0.16      -0.84     -0.21     0.0967    
173     -0.35       0.14      -0.83     -0.20     0.0954    
174     -0.38       0.16      -0.88     -0.14     0.0941    
175     -0.35       0.16      -0.95     -0.16     0.0928    
176     -0.36       0.15      -0.82     -0.18     0.0915    
177     -0.39       0.15      -0.84     -0.16     0.0903    
178     -0.40       0.17      -0.89     -0.18     0.0891    
179     -0.36       0.14      -0.82     -0.18     0.0879    
180     -0.37       0.14      -0.89     -0.17     0.0867    
181     -0.37       0.16      -0.82     -0.20     0.0855    
182     -0.38       0.17      -0.89     -0.18     0.0844    
183     -0.39       0.17      -0.95     -0.18     0.0833    
184     -0.38       0.15      -0.84     -0.14     0.0821    
185     -0.36       0.15      -0.87     -0.15     0.0810    
186     -0.38       0.16      -0.85     -0.19     0.0799    
187     -0.37       0.16      -0.87     -0.19     0.0789    
188     -0.38       0.16      -0.84     -0.17     0.0778    
189     -0.39       0.17      -0.98     -0.20     0.0767    
190     -0.38       0.15      -0.85     -0.19     0.0757    
191     -0.36       0.15      -0.80     -0.17     0.0747    
192     -0.38       0.17      -0.83     -0.17     0.0737    
193     -0.38       0.16      -0.81     -0.18     0.0727    
194     -0.38       0.16      -0.86     -0.19     0.0717    
195     -0.41       0.17      -0.90     -0.19     0.0708    
196     -0.36       0.17      -0.93     -0.16     0.0698    
197     -0.35       0.16      -0.81     -0.16     0.0688    
198     -0.38       0.17      -0.85     -0.19     0.0679    
199     -0.38       0.16      -0.94     -0.14     0.0670    
200     -0.35       0.14      -1.02     -0.18     0.0661    
201     -0.36       0.18      -0.90     -0.16     0.0652    
202     -0.39       0.18      -0.88     -0.18     0.0643    
203     -0.37       0.18      -0.84     -0.16     0.0635    
204     -0.35       0.15      -0.92     -0.16     0.0626    
205     -0.34       0.14      -0.84     -0.18     0.0618    
206     -0.36       0.14      -0.82     -0.18     0.0609    
207     -0.37       0.15      -0.82     -0.20     0.0601    
208     -0.36       0.17      -0.90     -0.18     0.0593    
209     -0.36       0.14      -0.78     -0.14     0.0585    
210     -0.36       0.14      -0.97     -0.14     0.0577    
211     -0.36       0.15      -0.81     -0.18     0.0569    
212     -0.38       0.16      -0.83     -0.18     0.0562    
213     -0.39       0.17      -0.91     -0.18     0.0554    
214     -0.39       0.15      -0.80     -0.21     0.0547    
215     -0.37       0.17      -0.88     -0.19     0.0539    
216     -0.36       0.17      -0.86     -0.18     0.0532    
217     -0.36       0.15      -0.78     -0.18     0.0525    
218     -0.37       0.15      -0.81     -0.19     0.0518    
219     -0.35       0.15      -0.86     -0.20     0.0511    
220     -0.36       0.16      -0.80     -0.18     0.0504    
221     -0.37       0.15      -0.89     -0.19     0.0497    
222     -0.35       0.14      -0.91     -0.18     0.0490    
223     -0.33       0.16      -1.10     -0.16     0.0484    
224     -0.37       0.16      -0.84     -0.19     0.0477    
225     -0.35       0.17      -0.89     -0.16     0.0471    
226     -0.34       0.14      -0.96     -0.16     0.0464    
227     -0.35       0.16      -0.94     -0.19     0.0458    
228     -0.38       0.14      -0.84     -0.17     0.0452    
229     -0.35       0.15      -0.78     -0.18     0.0445    
230     -0.40       0.18      -0.84     -0.17     0.0440    
231     -0.37       0.16      -0.86     -0.16     0.0434    
232     -0.36       0.15      -0.93     -0.21     0.0428    
233     -0.38       0.16      -0.82     -0.19     0.0422    
234     -0.38       0.17      -0.81     -0.19     0.0416    
235     -0.38       0.16      -0.88     -0.17     0.0411    
236     -0.39       0.16      -0.98     -0.18     0.0405    
237     -0.39       0.18      -0.90     -0.17     0.0400    
238     -0.36       0.16      -0.83     -0.20     0.0394    
239     -0.36       0.18      -0.87     -0.16     0.0389    
240     -0.39       0.17      -0.93     -0.20     0.0384    
241     -0.34       0.16      -0.86     -0.14     0.0379    
242     -0.37       0.16      -0.78     -0.18     0.0374    
243     -0.34       0.15      -0.89     -0.18     0.0368    
244     -0.39       0.17      -0.88     -0.20     0.0364    
245     -0.39       0.17      -0.86     -0.15     0.0359    
246     -0.36       0.15      -0.77     -0.18     0.0354    
247     -0.39       0.17      -0.90     -0.14     0.0349    
248     -0.37       0.16      -0.91     -0.18     0.0344    
249     -0.39       0.14      -0.78     -0.14     0.0340    
250     -0.37       0.14      -0.78     -0.16     0.0335    
251     -0.37       0.16      -0.82     -0.17     0.0331    
252     -0.37       0.15      -0.81     -0.19     0.0326    
253     -0.37       0.13      -0.77     -0.14     0.0322    
254     -0.35       0.17      -0.94     -0.16     0.0318    
255     -0.35       0.17      -0.85     -0.18     0.0313    
256     -0.37       0.16      -0.87     -0.20     0.0309    
257     -0.38       0.15      -0.87     -0.14     0.0305    
258     -0.38       0.16      -0.80     -0.19     0.0301    
259     -0.41       0.16      -0.95     -0.16     0.0297    
260     -0.43       0.16      -0.88     -0.19     0.0293    
261     -0.40       0.15      -0.87     -0.20     0.0289    
262     -0.37       0.16      -1.04     -0.18     0.0285    
263     -0.40       0.16      -0.81     -0.17     0.0281    
264     -0.35       0.15      -0.80     -0.18     0.0278    
265     -0.37       0.15      -0.86     -0.18     0.0274    
266     -0.38       0.15      -0.76     -0.17     0.0270    
267     -0.38       0.17      -0.79     -0.17     0.0267    
268     -0.36       0.17      -0.89     -0.16     0.0263    
269     -0.40       0.16      -0.84     -0.21     0.0259    
270     -0.38       0.16      -0.82     -0.16     0.0256    
271     -0.37       0.17      -0.86     -0.16     0.0253    
272     -0.35       0.14      -0.78     -0.17     0.0249    
273     -0.36       0.17      -0.88     -0.18     0.0246    
274     -0.35       0.14      -0.79     -0.20     0.0242    
275     -0.36       0.19      -0.85     -0.16     0.0239    
276     -0.35       0.15      -0.87     -0.16     0.0236    
277     -0.35       0.17      -0.90     -0.16     0.0233    
278     -0.39       0.18      -0.82     -0.18     0.0229    
279     -0.36       0.17      -0.89     -0.19     0.0226    
280     -0.36       0.17      -1.03     -0.16     0.0223    
281     -0.34       0.14      -0.83     -0.16     0.0220    
282     -0.35       0.13      -0.82     -0.16     0.0217    
283     -0.35       0.16      -0.87     -0.19     0.0214    
284     -0.36       0.16      -0.84     -0.20     0.0211    
285     -0.35       0.14      -0.81     -0.16     0.0208    
286     -0.36       0.15      -0.76     -0.18     0.0206    
287     -0.37       0.15      -0.87     -0.17     0.0203    
288     -0.40       0.18      -0.96     -0.19     0.0200    
289     -0.38       0.19      -1.21     -0.18     0.0198    
290     -0.43       0.21      -0.97     -0.19     0.0195    
291     -0.36       0.15      -0.82     -0.17     0.0192    
292     -0.39       0.16      -0.78     -0.21     0.0190    
293     -0.40       0.20      -0.99     -0.19     0.0187    
294     -0.35       0.19      -0.95     -0.16     0.0185    
295     -0.37       0.17      -0.90     -0.17     0.0182    
296     -0.38       0.17      -0.88     -0.18     0.0180    
297     -0.35       0.16      -0.95     -0.18     0.0177    
298     -0.38       0.18      -0.85     -0.16     0.0175    
299     -0.33       0.15      -0.86     -0.16     0.0172    
300     -0.39       0.15      -0.80     -0.20     0.0170    
301     -0.35       0.16      -0.88     -0.16     0.0168    
302     -0.36       0.14      -0.85     -0.14     0.0166    
303     -0.37       0.16      -0.85     -0.17     0.0163    
304     -0.38       0.14      -0.82     -0.14     0.0161    
305     -0.34       0.16      -0.76     -0.15     0.0159    
306     -0.37       0.16      -0.79     -0.18     0.0157    
307     -0.39       0.16      -0.84     -0.19     0.0155    
308     -0.36       0.15      -0.93     -0.14     0.0153    
309     -0.36       0.14      -0.78     -0.14     0.0151    
310     -0.39       0.16      -0.79     -0.19     0.0149    
311     -0.36       0.16      -0.75     -0.18     0.0147    
312     -0.40       0.16      -0.79     -0.17     0.0145    
313     -0.38       0.15      -0.78     -0.14     0.0143    
314     -0.35       0.15      -0.84     -0.16     0.0141    
315     -0.38       0.15      -0.82     -0.17     0.0139    
316     -0.38       0.16      -0.83     -0.18     0.0137    
317     -0.35       0.15      -0.88     -0.17     0.0135    
318     -0.41       0.16      -0.83     -0.18     0.0133    
319     -0.38       0.16      -0.85     -0.18     0.0132    
320     -0.38       0.17      -0.85     -0.17     0.0130    
321     -0.34       0.16      -0.81     -0.16     0.0128    
322     -0.37       0.16      -0.89     -0.18     0.0126    
323     -0.38       0.15      -0.83     -0.18     0.0125    
324     -0.34       0.16      -0.79     -0.16     0.0123    
325     -0.36       0.16      -0.88     -0.18     0.0121    
326     -0.57       0.19      -1.09     -0.21     0.0120    
327     -0.50       0.17      -0.95     -0.20     0.0118    
328     -0.43       0.20      -1.09     -0.16     0.0117    
329     -0.41       0.18      -0.97     -0.16     0.0115    
330     -0.45       0.20      -0.96     -0.20     0.0113    
331     -0.39       0.18      -0.89     -0.17     0.0112    
332     -0.45       0.19      -0.92     -0.18     0.0110    
333     -0.49       0.17      -1.13     -0.21     0.0109    
334     -0.40       0.23      -1.09     -0.16     0.0108    
335     -0.47       0.18      -1.28     -0.19     0.0106    
336     -0.50       0.20      -0.97     -0.19     0.0105    
337     -0.54       0.19      -1.07     -0.25     0.0103    
338     -0.39       0.17      -0.90     -0.16     0.0102    
339     -0.52       0.19      -0.99     -0.20     0.0100    
340     -0.50       0.20      -1.19     -0.18     0.0100    
341     -0.44       0.18      -0.92     -0.18     0.0100    
342     -0.47       0.20      -1.08     -0.18     0.0100    
343     -0.43       0.15      -0.96     -0.16     0.0100    
344     -0.44       0.20      -0.99     -0.18     0.0100    
345     -0.42       0.17      -0.96     -0.21     0.0100    
346     -0.45       0.18      -0.98     -0.23     0.0100    
347     -0.47       0.19      -1.00     -0.20     0.0100    
348     -0.43       0.22      -1.09     -0.16     0.0100    
349     -0.44       0.17      -1.03     -0.22     0.0100    
350     -0.45       0.14      -1.01     -0.21     0.0100    
351     -0.42       0.18      -0.94     -0.20     0.0100    
352     -0.41       0.21      -1.00     -0.18     0.0100    
353     -0.48       0.14      -0.96     -0.17     0.0100    
354     -0.43       0.15      -0.90     -0.22     0.0100    
355     -0.42       0.15      -0.92     -0.20     0.0100    
356     -0.43       0.21      -0.98     -0.18     0.0100    
357     -0.43       0.19      -0.98     -0.18     0.0100    
358     -0.42       0.19      -0.89     -0.20     0.0100    
359     -0.42       0.22      -0.95     -0.17     0.0100    
360     -0.45       0.21      -1.03     -0.22     0.0100    
361     -0.40       0.21      -0.93     -0.16     0.0100    
362     -0.43       0.19      -0.93     -0.20     0.0100    
363     -0.43       0.15      -0.94     -0.25     0.0100    
364     -0.40       0.20      -1.03     -0.16     0.0100    
365     -0.46       0.21      -0.98     -0.18     0.0100    
366     -0.49       0.21      -1.00     -0.22     0.0100    
367     -0.47       0.20      -1.01     -0.17     0.0100    
368     -0.46       0.19      -1.11     -0.18     0.0100    
369     -0.42       0.22      -1.00     -0.20     0.0100    
370     -0.44       0.20      -0.93     -0.17     0.0100    
371     -0.46       0.17      -0.90     -0.17     0.0100    
372     -0.41       0.23      -1.03     -0.16     0.0100    
373     -0.45       0.19      -0.95     -0.19     0.0100    
374     -0.45       0.16      -0.96     -0.22     0.0100    
375     -0.40       0.20      -1.02     -0.16     0.0100    
376     -0.39       0.23      -0.95     -0.16     0.0100    
377     -0.48       0.17      -0.97     -0.16     0.0100    
378     -0.42       0.22      -0.97     -0.16     0.0100    
379     -0.48       0.19      -0.95     -0.20     0.0100    
380     -0.47       0.21      -1.06     -0.21     0.0100    
381     -0.47       0.18      -0.98     -0.21     0.0100    
382     -0.44       0.19      -1.08     -0.19     0.0100    
383     -0.50       0.21      -1.10     -0.18     0.0100    
384     -0.45       0.19      -0.98     -0.18     0.0100    
385     -0.44       0.18      -1.00     -0.17     0.0100    
386     -0.48       0.19      -1.22     -0.23     0.0100    
387     -0.47       0.19      -1.07     -0.19     0.0100    
388     -0.42       0.22      -1.06     -0.18     0.0100    
389     -0.47       0.16      -1.10     -0.19     0.0100    
390     -0.45       0.17      -0.91     -0.18     0.0100    
391     -0.50       0.19      -0.98     -0.19     0.0100    
392     -0.46       0.17      -1.08     -0.17     0.0100    
393     -0.39       0.21      -1.04     -0.16     0.0100    
394     -0.36       0.20      -0.97     -0.16     0.0100    
395     -0.38       0.20      -0.95     -0.16     0.0100    
396     -0.47       0.19      -0.97     -0.20     0.0100    
397     -0.46       0.16      -1.07     -0.21     0.0100    
398     -0.40       0.17      -0.96     -0.18     0.0100    
399     -0.43       0.20      -1.29     -0.18     0.0100    
400     -0.44       0.19      -0.99     -0.18     0.0100    
401     -0.44       0.22      -1.00     -0.19     0.0100    
402     -0.45       0.17      -0.93     -0.20     0.0100    
403     -0.47       0.23      -1.12     -0.16     0.0100    
404     -0.42       0.20      -1.03     -0.16     0.0100    
405     -0.40       0.19      -1.03     -0.18     0.0100    
406     -0.49       0.19      -1.03     -0.22     0.0100    
407     -0.47       0.20      -1.07     -0.19     0.0100    
408     -0.49       0.18      -1.12     -0.17     0.0100    
409     -0.45       0.16      -0.98     -0.23     0.0100    
410     -0.43       0.20      -0.98     -0.16     0.0100    
411     -0.39       0.18      -1.03     -0.18     0.0100    
412     -0.40       0.19      -0.93     -0.16     0.0100    
413     -0.44       0.16      -1.03     -0.22     0.0100    
414     -0.46       0.22      -1.03     -0.18     0.0100    
415     -0.47       0.16      -0.97     -0.21     0.0100    
416     -0.42       0.18      -0.94     -0.21     0.0100    
417     -0.44       0.18      -0.92     -0.16     0.0100    
418     -0.39       0.22      -1.03     -0.16     0.0100    
419     -0.42       0.20      -0.99     -0.18     0.0100    
420     -0.42       0.22      -1.00     -0.20     0.0100    
421     -0.40       0.18      -0.96     -0.21     0.0100    
422     -0.44       0.19      -0.96     -0.21     0.0100    
423     -0.45       0.18      -1.02     -0.21     0.0100    
424     -0.49       0.18      -0.97     -0.18     0.0100    
425     -0.50       0.20      -1.02     -0.18     0.0100    
426     -0.40       0.20      -0.89     -0.16     0.0100    
427     -0.47       0.17      -0.94     -0.22     0.0100    
428     -0.42       0.21      -0.96     -0.16     0.0100    
429     -0.50       0.19      -0.98     -0.17     0.0100    
430     -0.49       0.18      -1.08     -0.17     0.0100    
431     -0.46       0.16      -0.99     -0.21     0.0100    
432     -0.38       0.23      -0.99     -0.16     0.0100    
433     -0.48       0.21      -0.97     -0.19     0.0100    
434     -0.43       0.16      -0.96     -0.16     0.0100    
435     -0.43       0.16      -0.97     -0.21     0.0100    
436     -0.44       0.18      -0.98     -0.16     0.0100    
437     -0.44       0.17      -1.07     -0.23     0.0100    
438     -0.40       0.22      -0.90     -0.16     0.0100    
439     -0.41       0.20      -1.04     -0.16     0.0100    
440     -0.46       0.14      -0.94     -0.17     0.0100    
441     -0.45       0.19      -0.97     -0.20     0.0100    
442     -0.44       0.25      -1.02     -0.20     0.0100    
443     -0.44       0.21      -0.98     -0.20     0.0100    
444     -0.48       0.18      -0.91     -0.20     0.0100    
445     -0.46       0.22      -1.22     -0.21     0.0100    
446     -0.42       0.18      -0.97     -0.21     0.0100    
447     -0.46       0.19      -0.98     -0.19     0.0100    
448     -0.45       0.20      -1.00     -0.20     0.0100    
449     -0.44       0.18      -0.99     -0.18     0.0100    
450     -0.42       0.21      -1.10     -0.16     0.0100    
451     -0.50       0.19      -0.98     -0.24     0.0100    
452     -0.46       0.16      -0.95     -0.22     0.0100    
453     -0.45       0.19      -0.97     -0.21     0.0100    
454     -0.41       0.18      -0.94     -0.16     0.0100    
455     -0.44       0.21      -1.03     -0.17     0.0100    
456     -0.41       0.19      -0.99     -0.18     0.0100    
457     -0.45       0.18      -0.91     -0.17     0.0100    
