method,scenario,split,n,feasibility_mean,feasibility_ci95_lo,feasibility_ci95_hi,time_feasible_mean,time_feasible_ci95_lo,time_feasible_ci95_hi,time_all_mean,time_all_ci95_lo,time_all_ci95_hi,time_all_hier_mean,time_all_hier_lo,time_all_hier_hi,sd_across_seeds,n_seeds,resampling_unit,runtime_mean
DiscretePPO,ablation,,147,0.08950617283950618,0.02829218106995885,0.18569958847736626,637.1546322960024,194.92599581334275,798.9022293205152,1053.577248894912,459.19928996123303,2138.6375698038496,1152.264980889893,696.8136082438252,1690.6141307327603,13.132927916339167,3,training_seed_then_base_instance,0.08266666938818447
HybridPPO,ablation,,147,0.08281893004115227,0.0411522633744856,0.1286008230452675,767.6960910417738,182.1874696803595,1086.4523900996103,1058.1689356987085,474.66105622592994,2139.2013109566083,1169.5939446395946,718.1265899298024,1715.0027830748104,4.074445543681422,3,training_seed_then_base_instance,0.08222881292759561
HybridPPO_A2,ablation,,147,0.09567901234567901,0.040123456790123455,0.1574074074074074,722.3208357413557,184.65388084635032,806.3143824592996,1050.0463437831318,459.36173278783764,2135.793838759338,1152.2562405192195,694.7716813035064,1699.4043013513535,7.51189679261837,3,training_seed_then_base_instance,0.03821798299358473
HybridPPO_A3,ablation,,147,0.08076131687242799,0.04063786008230452,0.12654320987654322,737.6330547726504,184.1405735617847,1069.2468872502084,1058.0825093630096,474.9295364061797,2139.1330300298955,1169.653354602167,718.0713015101452,1715.384830905764,3.496405257087947,3,training_seed_then_base_instance,0.08972301973120253
HybridPPO_A4,ablation,,147,0.08487654320987655,0.04475308641975309,0.1311728395061728,780.3267362441733,185.10364231831878,1075.3078230969372,1056.529804438062,476.35325279521066,2138.047984640312,1169.5834211602823,718.7370807725976,1716.1815273570837,4.781735855172309,3,training_seed_then_base_instance,0.08828478027214327
HybridPPO_A5,ablation,,147,0.0565843621399177,0.012345679012345678,0.1080246913580247,754.4985945372119,183.20852262466784,1039.8020856332255,1059.4012458125615,477.0831139479285,2139.8565464661024,1170.7863785038949,720.4339315339279,1717.036450487139,3.6390104535918906,3,training_seed_then_base_instance,0.09441720612218832
