Total Episodes: 87711
Total Time: 1634.2 min
Final Epsilon: 0.0100
Mean Reward: -6.22 +/- 2.30
Best Reward: -0.82
Worst Reward: -10.86

======================================================================
Epoch   Mean        Std       Min       Max       Epsilon   
======================================================================
1       -5.57       1.90      -9.94     -1.49     0.7474    
2       -5.46       1.70      -9.37     -1.43     0.5575    
3       -4.89       1.71      -9.52     -1.10     0.4167    
4       -4.71       1.60      -8.98     -1.10     0.3114    
5       -4.44       1.66      -9.19     -1.15     0.2328    
6       -4.55       1.64      -8.46     -1.04     0.1738    
7       -4.16       1.52      -9.28     -1.32     0.1299    
8       -4.09       1.44      -8.12     -1.04     0.0970    
9       -4.06       1.41      -7.44     -1.10     0.0725    
10      -4.17       1.40      -8.20     -1.20     0.0541    
11      -3.97       1.25      -6.91     -1.23     0.0404    
12      -3.96       1.47      -7.95     -1.11     0.0301    
13      -3.65       1.32      -7.14     -1.16     0.0225    
14      -3.88       1.23      -7.65     -1.22     0.0168    
15      -3.92       1.42      -7.85     -1.23     0.0126    
16      -3.91       1.39      -7.46     -1.08     0.0100    
17      -4.26       1.51      -8.36     -1.36     0.0100    
18      -4.07       1.30      -7.53     -1.08     0.0100    
19      -3.80       1.28      -8.01     -0.96     0.0100    
20      -3.93       1.29      -8.62     -0.96     0.0100    
21      -4.36       1.64      -8.76     -1.16     0.0100    
22      -4.68       1.62      -9.37     -0.89     0.0100    
23      -4.33       1.63      -9.76     -1.38     0.0100    
24      -4.46       1.65      -9.20     -1.23     0.0100    
25      -4.09       1.38      -7.39     -1.22     0.0100    
26      -4.14       1.32      -7.97     -0.82     0.0100    
27      -4.13       1.46      -7.94     -0.96     0.0100    
28      -3.94       1.34      -7.43     -1.11     0.0100    
29      -3.81       1.41      -8.02     -1.21     0.0100    
30      -3.67       1.30      -6.96     -1.18     0.0100    
31      -3.74       1.24      -7.48     -1.22     0.0100    
32      -3.98       1.46      -8.35     -1.17     0.0100    
33      -4.05       1.54      -7.85     -0.89     0.0100    
34      -3.79       1.39      -6.77     -1.08     0.0100    
35      -3.66       1.30      -7.16     -0.96     0.0100    
36      -3.80       1.22      -7.34     -0.89     0.0100    
37      -3.65       1.28      -7.70     -0.96     0.0100    
38      -3.74       1.43      -8.83     -0.83     0.0100    
39      -3.77       1.31      -7.47     -1.31     0.0100    
40      -3.97       1.44      -9.53     -0.89     0.0100    
41      -3.76       1.38      -8.83     -1.22     0.0100    
42      -3.86       1.40      -10.25    -0.96     0.0100    
43      -4.12       1.36      -7.83     -1.08     0.0100    
44      -4.05       1.66      -10.44    -1.16     0.0100    
45      -3.86       1.34      -7.94     -1.35     0.0100    
46      -3.96       1.47      -7.59     -1.16     0.0100    
47      -3.95       1.35      -8.00     -1.23     0.0100    
48      -3.74       1.26      -7.33     -1.20     0.0100    
49      -3.99       1.29      -6.92     -1.32     0.0100    
50      -3.88       1.37      -8.13     -1.08     0.0100    
51      -4.01       1.38      -7.60     -0.96     0.0100    
52      -4.63       2.01      -9.58     -1.15     0.0100    
53      -5.69       2.64      -10.75    -0.96     0.0100    
54      -4.42       1.88      -9.57     -1.28     0.0100    
55      -4.18       1.51      -8.62     -0.96     0.0100    
56      -3.91       1.41      -8.36     -1.15     0.0100    
57      -3.78       1.32      -7.35     -1.22     0.0100    
58      -3.92       1.36      -8.85     -1.26     0.0100    
59      -3.73       1.24      -7.04     -1.09     0.0100    
60      -3.72       1.38      -7.67     -0.96     0.0100    
61      -3.76       1.23      -7.20     -1.22     0.0100    
