Total Episodes: 87734
Total Time: 785.2 min
Final Epsilon: 0.0124
Mean Reward: -4.41 +/- 1.64
Best Reward: -0.82
Worst Reward: -10.30

======================================================================
Epoch   Mean        Std       Min       Max       Epsilon   
======================================================================
1       -5.63       1.80      -9.80     -0.95     0.9855    
2       -5.93       1.85      -9.86     -1.59     0.9711    
3       -5.90       1.80      -9.25     -1.24     0.9570    
4       -5.83       1.81      -9.49     -1.69     0.9431    
5       -5.73       1.79      -10.30    -1.57     0.9295    
6       -5.75       1.80      -9.49     -0.96     0.9160    
7       -5.72       1.88      -9.38     -1.53     0.9028    
8       -5.80       1.85      -9.41     -1.19     0.8897    
9       -5.66       1.88      -9.34     -1.01     0.8768    
10      -5.93       1.88      -9.71     -1.61     0.8640    
11      -5.68       1.73      -9.64     -1.28     0.8514    
12      -5.87       1.84      -10.26    -1.61     0.8390    
13      -5.75       1.90      -9.47     -1.15     0.8268    
14      -5.46       1.91      -9.78     -1.31     0.8149    
15      -5.94       1.89      -9.63     -1.15     0.8031    
16      -5.73       1.88      -9.56     -1.25     0.7913    
17      -5.41       1.86      -9.56     -1.41     0.7799    
18      -5.25       1.88      -9.51     -1.17     0.7686    
19      -5.46       1.79      -9.58     -1.36     0.7574    
20      -5.46       1.96      -9.73     -1.26     0.7464    
21      -5.31       1.87      -9.19     -1.15     0.7356    
22      -5.61       1.86      -9.18     -1.44     0.7250    
23      -5.45       1.80      -9.86     -1.36     0.7145    
24      -5.72       1.83      -10.11    -0.96     0.7041    
25      -5.48       1.80      -10.06    -1.47     0.6939    
26      -5.49       1.80      -9.54     -0.96     0.6838    
27      -5.59       1.77      -9.33     -1.40     0.6739    
28      -5.36       1.82      -9.20     -1.26     0.6641    
29      -5.45       1.87      -9.28     -0.90     0.6545    
30      -5.38       1.76      -8.78     -1.01     0.6449    
31      -5.16       1.87      -9.66     -1.19     0.6356    
32      -4.83       1.76      -8.72     -1.07     0.6263    
33      -5.17       1.86      -8.78     -0.96     0.6172    
34      -5.37       1.84      -9.59     -1.13     0.6082    
35      -5.30       1.87      -9.93     -0.96     0.5993    
36      -5.02       1.73      -9.54     -1.15     0.5907    
37      -5.08       1.73      -9.35     -1.17     0.5821    
38      -4.82       1.72      -9.16     -0.95     0.5736    
