Total Episodes: 67867
Total Time: 338.1 min
Final Epsilon: 0.0100
Mean Reward: -0.39 +/- 0.17
Best Reward: -0.14
Worst Reward: -1.21

======================================================================
Epoch   Mean        Std       Min       Max       Epsilon   
======================================================================
1       -0.55       0.17      -1.04     -0.23     0.9732    
2       -0.53       0.17      -1.05     -0.24     0.9471    
3       -0.53       0.18      -1.12     -0.15     0.9216    
4       -0.54       0.19      -1.05     -0.23     0.8965    
5       -0.53       0.17      -1.02     -0.18     0.8722    
6       -0.54       0.17      -1.11     -0.19     0.8485    
7       -0.52       0.18      -0.96     -0.19     0.8253    
8       -0.51       0.19      -1.05     -0.20     0.8028    
9       -0.51       0.17      -0.96     -0.21     0.7814    
10      -0.51       0.19      -1.02     -0.19     0.7601    
11      -0.50       0.18      -1.06     -0.18     0.7395    
12      -0.52       0.18      -1.06     -0.22     0.7199    
13      -0.51       0.19      -1.12     -0.19     0.7012    
14      -0.51       0.18      -1.01     -0.18     0.6826    
15      -0.50       0.18      -0.94     -0.19     0.6644    
16      -0.49       0.18      -1.21     -0.20     0.6467    
17      -0.48       0.18      -1.05     -0.20     0.6294    
18      -0.49       0.19      -1.09     -0.16     0.6128    
19      -0.48       0.17      -1.03     -0.18     0.5959    
20      -0.47       0.19      -1.02     -0.20     0.5799    
21      -0.48       0.17      -1.10     -0.18     0.5641    
22      -0.47       0.16      -0.91     -0.18     0.5490    
23      -0.44       0.17      -0.93     -0.16     0.5339    
24      -0.47       0.18      -0.93     -0.17     0.5197    
25      -0.47       0.19      -1.02     -0.20     0.5062    
26      -0.47       0.18      -0.90     -0.18     0.4928    
27      -0.44       0.17      -1.10     -0.18     0.4794    
28      -0.47       0.20      -0.94     -0.15     0.4667    
29      -0.45       0.17      -0.97     -0.19     0.4543    
30      -0.46       0.18      -0.92     -0.20     0.4423    
31      -0.46       0.18      -0.99     -0.19     0.4305    
32      -0.45       0.18      -1.10     -0.21     0.4194    
33      -0.43       0.18      -0.95     -0.20     0.4083    
34      -0.44       0.18      -0.97     -0.19     0.3976    
35      -0.42       0.18      -1.00     -0.21     0.3868    
36      -0.42       0.17      -0.86     -0.16     0.3765    
37      -0.48       0.18      -1.02     -0.18     0.3666    
38      -0.41       0.15      -1.06     -0.21     0.3566    
39      -0.42       0.17      -1.08     -0.21     0.3470    
40      -0.44       0.18      -1.02     -0.19     0.3376    
41      -0.43       0.17      -0.96     -0.18     0.3285    
42      -0.43       0.18      -1.07     -0.20     0.3195    
43      -0.44       0.16      -0.90     -0.16     0.3109    
