Total Episodes: 33382
Total Time: 868.0 min
Final Epsilon: 0.0100
Mean Reward: -4.86 +/- 1.85
Best Reward: -0.98
Worst Reward: -11.95

======================================================================
Epoch   Mean        Std       Min       Max       Epsilon   
======================================================================
1       -5.91       1.99      -11.22    -1.80     0.7564    
2       -5.57       1.94      -10.22    -1.49     0.5705    
3       -5.28       1.93      -10.32    -1.21     0.4320    
4       -4.93       1.84      -9.28     -1.27     0.3268    
5       -4.86       1.86      -10.93    -1.58     0.2482    
6       -4.72       1.94      -9.71     -1.48     0.1877    
7       -4.96       1.83      -9.01     -1.58     0.1421    
8       -4.78       1.73      -8.91     -1.60     0.1072    
9       -4.64       1.87      -9.84     -1.55     0.0812    
10      -4.58       1.70      -8.11     -1.60     0.0615    
11      -4.46       1.79      -9.56     -1.55     0.0467    
12      -4.58       1.73      -8.92     -1.65     0.0353    
13      -4.49       1.68      -8.97     -1.55     0.0267    
14      -4.72       1.58      -8.19     -1.71     0.0201    
15      -4.58       1.74      -9.81     -1.69     0.0152    
16      -4.57       1.72      -9.17     -1.57     0.0115    
17      -4.57       1.70      -8.91     -1.65     0.0100    
18      -4.47       1.73      -8.73     -1.57     0.0100    
19      -4.52       1.66      -8.57     -1.55     0.0100    
20      -4.17       1.67      -8.42     -1.38     0.0100    
21      -4.30       1.60      -8.20     -1.35     0.0100    
22      -4.20       1.59      -8.32     -1.38     0.0100    
23      -4.26       1.56      -8.11     -1.32     0.0100    
24      -4.35       1.56      -8.52     -1.58     0.0100    
25      -4.38       1.64      -8.92     -1.34     0.0100    
26      -4.36       1.66      -8.14     -1.33     0.0100    
27      -4.20       1.67      -8.15     -1.48     0.0100    
28      -4.17       1.56      -7.75     -1.63     0.0100    
29      -4.45       1.66      -8.04     -1.28     0.0100    
30      -4.22       1.61      -10.65    -1.44     0.0100    
31      -4.55       1.70      -9.06     -1.55     0.0100    
32      -4.53       1.76      -8.37     -1.73     0.0100    
33      -4.78       1.70      -9.08     -1.55     0.0100    
34      -4.39       1.64      -8.88     -1.35     0.0100    
35      -4.66       1.65      -8.59     -1.56     0.0100    
36      -4.40       1.77      -8.92     -1.63     0.0100    
37      -4.59       1.68      -8.27     -1.71     0.0100    
38      -4.59       1.69      -9.35     -1.71     0.0100    
39      -4.56       1.74      -9.37     -1.64     0.0100    
40      -4.71       1.79      -8.86     -1.71     0.0100    
41      -4.56       1.80      -9.26     -1.63     0.0100    
42      -4.63       1.80      -8.74     -1.49     0.0100    
43      -4.64       1.80      -9.08     -1.44     0.0100    
44      -4.66       1.80      -8.77     -1.48     0.0100    
45      -4.54       1.72      -8.52     -1.40     0.0100    
46      -4.85       1.88      -9.25     -1.38     0.0100    
47      -4.89       1.82      -9.35     -1.55     0.0100    
48      -5.00       2.08      -10.89    -1.32     0.0100    
49      -5.12       2.00      -11.95    -1.62     0.0100    
50      -4.88       2.10      -11.03    -1.57     0.0100    
51      -4.88       2.06      -11.62    -1.52     0.0100    
52      -4.87       1.93      -9.34     -1.64     0.0100    
53      -4.86       2.01      -9.64     -1.27     0.0100    
54      -4.80       1.90      -10.72    -1.28     0.0100    
55      -4.78       1.94      -10.47    -1.52     0.0100    
56      -5.10       2.00      -9.01     -0.98     0.0100    
57      -4.87       1.89      -10.04    -1.60     0.0100    
58      -4.75       1.81      -8.84     -1.27     0.0100    
59      -4.88       1.86      -9.38     -1.62     0.0100    
60      -4.76       1.79      -9.06     -1.62     0.0100    
61      -4.85       1.80      -9.33     -1.49     0.0100    
62      -4.75       1.92      -9.44     -1.50     0.0100    
63      -4.77       1.84      -9.35     -1.50     0.0100    
64      -4.69       1.75      -9.82     -1.42     0.0100    
65      -4.85       1.71      -9.44     -1.67     0.0100    
66      -4.75       1.76      -8.19     -1.63     0.0100    
67      -4.86       1.86      -9.81     -1.68     0.0100    
68      -4.87       1.77      -10.00    -1.85     0.0100    
69      -4.71       1.88      -8.46     -1.27     0.0100    
70      -4.93       1.85      -9.38     -1.74     0.0100    
71      -4.76       1.83      -9.07     -1.67     0.0100    
72      -4.83       1.84      -9.43     -1.55     0.0100    
73      -4.79       1.94      -10.06    -1.50     0.0100    
74      -4.79       1.71      -9.39     -1.68     0.0100    
75      -4.81       1.82      -9.23     -1.49     0.0100    
76      -5.03       1.86      -9.71     -1.62     0.0100    
77      -5.05       1.92      -10.23    -1.60     0.0100    
78      -4.59       1.74      -9.20     -1.63     0.0100    
79      -4.87       1.85      -9.08     -1.49     0.0100    
80      -5.07       1.76      -8.74     -1.62     0.0100    
81      -5.18       1.94      -10.23    -1.44     0.0100    
82      -5.08       1.70      -9.65     -1.80     0.0100    
83      -4.93       1.82      -8.96     -1.50     0.0100    
84      -4.91       1.74      -8.78     -1.73     0.0100    
85      -5.04       1.92      -9.72     -1.82     0.0100    
86      -4.78       1.80      -9.40     -1.62     0.0100    
87      -4.86       1.83      -8.96     -1.64     0.0100    
88      -5.15       1.83      -10.23    -1.79     0.0100    
89      -5.08       1.87      -9.23     -1.55     0.0100    
90      -5.10       1.95      -10.30    -1.44     0.0100    
91      -4.94       1.90      -9.07     -1.49     0.0100    
92      -4.94       1.95      -9.18     -1.44     0.0100    
93      -5.06       1.83      -8.73     -1.67     0.0100    
94      -5.19       1.85      -10.52    -1.70     0.0100    
95      -5.12       1.84      -9.78     -1.82     0.0100    
96      -5.01       1.83      -9.26     -1.82     0.0100    
97      -5.13       1.85      -9.64     -1.93     0.0100    
98      -5.27       1.90      -9.88     -1.91     0.0100    
99      -5.17       1.89      -10.38    -1.78     0.0100    
100     -5.14       1.86      -9.58     -1.78     0.0100    
101     -5.09       1.80      -9.08     -1.67     0.0100    
102     -5.23       1.89      -9.64     -1.69     0.0100    
103     -5.26       1.92      -10.38    -1.76     0.0100    
104     -5.27       1.87      -9.07     -1.40     0.0100    
105     -5.36       1.84      -9.73     -1.98     0.0100    
106     -5.40       1.78      -9.18     -1.76     0.0100    
107     -5.41       1.91      -9.78     -1.60     0.0100    
108     -5.27       1.91      -9.13     -1.70     0.0100    
109     -5.45       1.94      -10.02    -1.89     0.0100    
110     -5.05       1.91      -10.90    -1.60     0.0100    
111     -5.34       1.83      -9.11     -1.50     0.0100    
112     -5.53       1.86      -9.36     -1.70     0.0100    
113     -4.93       1.82      -9.54     -1.41     0.0100    
114     -5.30       1.78      -9.45     -0.99     0.0100    
115     -5.22       1.90      -9.45     -1.69     0.0100    
116     -5.32       1.99      -9.55     -1.44     0.0100    
117     -5.24       1.81      -9.45     -1.99     0.0100    
118     -5.16       1.90      -9.45     -1.63     0.0100    
119     -5.23       1.92      -9.17     -1.35     0.0100    
120     -5.15       1.83      -9.95     -1.84     0.0100    
