step,station_loss,portion_loss
1,9.597840309143066,10.767265796661377
2,9.949095129966736,11.656991243362427
3,7.910748928785324,10.730710715055466
4,5.141820304095745,10.54511570930481
5,2.532795859500766,9.023280996829271
6,3.284940581768751,6.726826071739197
7,2.0049522197805345,5.7576252948492765
8,3.0790175683796406,2.134240420171409
9,2.9658874082379043,3.4039716348052025
10,6.894135396927595,4.920689734630287
11,6.838605135679245,2.195838856510818
12,15.010690603405237,1.9330198495881632
13,13.029452793300152,3.018787548877299
14,23.83918809890747,3.2029597132641356
15,28.26296479254961,1.243821156444028
16,26.60112377256155,1.41986324172467
17,19.865391206229106,2.799038447556086
18,39.173509290922084,7.350588146597147
19,59.85565835237503,25.744268273352645
20,214.8047432601452,13.531975660473108
21,21.39958031475544,4.877481047064066
22,24.225279979407787,5.385793793131597
23,38.45002085529268,3.036863068729872
24,89.22553388774395,1.6791718960739672
25,52.91581817343831,2.643752758456685
26,75.67231801897287,28.855558997398475
27,136.49847716093063,5.907190918922424
28,47.96087744086981,2.4705805766789126
29,23.475065622478724,8.585436508990824
30,24.528090238571167,9.335729876795085
31,58.36994283273816,7.946599477902055
32,27.73859662003815,8.876140795648098
33,56.598384380340576,13.085383237339556
34,70.48286652937531,12.741655558347702
35,47.44233959913254,2.4979766835458577
36,36.801861146464944,3.3047466166317463
37,55.78710459172726,2.369835589081049
38,16.790668855624972,5.219162464141846
39,41.25476903188974,15.657667271792889
40,38.16039258777164,1.4943908775458112
41,55.5828974917531,2.3989397280383855
42,28.663463164120913,2.927010709885508
43,36.86948652029969,6.336896305438131
44,23.012161891907454,4.310558378696442
45,77.02959878742695,6.75423264503479
46,85.52793028950691,2.448998486797791
47,25.16035095229745,4.018469090107828
48,53.78875268995762,5.8111204580636695
49,42.28893266618252,31.540777285583317
50,12.489452037960291,10.44876450940501
51,16.56306165829301,24.54934660345316
52,17.697527065873146,12.279861017363146
53,13.532379480078816,8.022240022139158
54,14.760396169498563,10.05595235992223
55,18.008107546251267,20.795391913532512
56,13.125165149569511,7.749407228082418
57,31.801269061863422,7.343759514391422
58,33.13948725908995,22.57111309096217
59,41.17641677334905,7.6867008590488695
60,13.972407832741737,3.6956983958370984
61,6.445638447999954,4.3290467037586495
62,49.9822908192873,3.308392164763063
63,41.004947155714035,10.108304268680513
64,24.385894745588303,3.3161628767848015
65,29.35251275356859,2.706716278102249
66,39.779706969857216,7.804347421973944
67,37.95663392543793,2.9080037297680974
68,10.855354188010097,2.9761061100289226
69,14.997720171231776,3.2163703441619873
70,42.365931540727615,8.975890666246414
71,16.45173586605233,3.659664021630306
72,40.42714689671993,3.7700379714369774
73,64.45715013984591,4.345436913397862
74,23.11729807670781,4.217063673888333
75,27.46329713333398,6.536876182304695
76,47.495784143175115,13.210967045277357
77,33.11755185574293,14.433635559864342
78,34.42489022016525,5.718385308980942
79,112.39719098806381,31.91807971149683
80,22.175908755818455,3.7785733193159103
81,8.589323118329048,12.455186009407043
82,7.730944246053696,4.689116931753233
83,10.54540890455246,8.861079692840576
84,7.324758405564353,10.221423178911209
85,9.699240073561668,11.298071764409542
86,16.865125119686127,12.038588494062424
87,13.97702281177044,0.9777814793633297
88,4.733916192315519,4.778586700093001
89,4.257564325816929,3.652195089496672
90,7.771734667941928,1.5410502906888723
91,7.164080826099962,2.90622657421045
92,9.177361633628607,3.4629439674317837
93,11.222764221951365,8.772883899509907
94,6.42283421754837,2.4294872040627524
95,4.6923760757781565,3.3555918813913195
96,7.287581890821457,1.3052699179388583
97,9.461011178791523,10.173804275109433
98,7.056166653230321,5.532612346549286
99,19.408634504303336,8.328724242543103
100,18.68957127444446,9.055228287819773
101,10.282619318677462,8.657235853839666
102,9.436562612652779,11.28796737268567
103,6.036798721179366,9.969910234212875
104,11.523871390148997,12.286544065456837
105,13.283430439885706,12.58758320659399
106,22.97294792532921,18.777794539928436
107,23.901861149817705,8.564766268362291
108,5.554219172219746,18.483270920813084
109,7.8601215509697795,12.205522577743977
110,22.982401847839355,33.937494022771716
111,12.85214639827609,29.35981184244156
112,8.450423151254654,23.873541976790875
113,4.534391157794744,6.2503594167064875
114,5.313020104542375,15.646446004509926
115,10.236359427217394,16.69292803108692
116,9.261544425040483,12.833181522786617
117,13.987514805048704,8.862517359666526
118,5.3308245207881555,4.202842885162681
119,13.606083952472545,20.004322500899434
120,19.40638610138558,14.59815808199346
121,6.429106286261231,18.60337130437256
122,4.888268087059259,8.743473601527512
123,18.40640425682068,20.20526735857129
124,11.250912959687412,10.148603600915521
125,9.910888987593353,6.066274803131819
126,14.191650933586061,8.228217552124988
127,22.098091368563473,12.665063224732876
128,18.878235526382923,9.606400460004807
129,32.159036630764604,13.038100553676486
130,18.950789526104927,12.47381591051817
131,16.910234462469816,2.6937934840098023
132,24.661884002387524,14.157951094210148
133,14.83776681497693,7.362842392642051
134,16.048074059712235,15.010201130062342
135,9.253009669482708,20.92691347002983
136,16.0034814896062,1.8006490317638963
137,4.70843477366725,3.0690227858835897
138,18.18123985826969,5.539669605832387
139,44.726028978824615,6.836366965435445
140,19.20073701441288,13.233619034290314
141,23.830144345760345,15.07788186892867
142,25.997601341456175,4.023192861328425
143,20.17731586098671,5.912234118208289
144,8.70019081258215,7.2200004160404205
145,22.2149462508969,9.275285879615694
146,21.33043134957552,9.007074503228068
147,61.746302008628845,17.905982486903667
148,22.659049153327942,0.6760439700447023
149,19.79951571021229,4.8082242999225855
150,9.554257998242974,3.243707161018392
151,10.003692701458931,12.919578954577446
152,17.782154195010662,1.7768358485773206
153,9.648844411596656,8.216249370481819
154,12.303372904891148,7.092162229120731
155,18.201648842077702,5.496439840644598
156,48.71920993924141,9.052620083093643
157,30.765701234340668,10.828665781766176
158,35.757066801190376,8.872848562896252
159,60.36000482738018,7.349829557351768
160,27.89926217496395,13.67048305273056
161,16.080162666738033,7.050497702904977
162,54.66244708716113,4.478390887379646
163,63.36748921871185,7.825713515281677
164,19.06851427257061,5.5805004220455885
165,85.77007485926151,5.061145714047598
166,29.94650211930275,7.422317141667008
167,14.374942064285278,5.091033294796944
168,43.787869073450565,9.806904036551714
169,33.077338819159195,6.0639240480959415
170,25.05779916793108,7.634771168231964
171,25.523612349294126,14.65918069332838
172,45.97016084194183,17.463045995682478
173,54.18499839305878,26.266545474529266
174,95.34296816587448,15.245910868048668
175,52.05739805661142,7.381391851538865
176,39.083163261413574,12.279616758227348
177,36.96211280487478,3.7713458891958
178,40.330405954271555,3.752691037429031
179,53.88908702135086,5.1952732496429235
180,32.581082087010145,8.612216321751475
181,57.85103548318148,10.321179101068992
182,62.84625252708793,11.190107107162476
183,52.088778654811904,6.959734253585339
184,31.19340866804123,3.435770060867071
185,22.489332616329193,8.392644904437475
186,33.88532450795174,9.340228796005249
187,60.423969231545925,5.885385174304247
188,42.27330265939236,5.291441439650953
189,59.96557641029358,5.949893850833178
190,110.30014532804489,15.704410959035158
191,51.243298556655645,10.761520899832249
192,58.329047502717,15.40473699849099
193,60.0231154859066,11.152286812663078
194,428.8521126508713,4.985429245978594
195,89.60804414749146,5.425822074059397
196,164.7370119690895,4.849930156953633
197,25.687510520219803,14.229031773051247
198,36.675873175263405,17.209520015050657
199,24.364649360999465,11.933176428079605
200,11.30730153247714,4.928287227405235
201,14.540673432406038,3.3799914745613933
202,23.992730950005352,13.198353635147214
203,11.748870472889394,6.6767108659259975
204,25.626399472355843,2.2144676812458783
205,11.297306859865785,2.9778259955346584
206,36.07244639773853,3.3336748480796814
207,22.765493548064114,4.324745872989297
208,29.5120892226696,10.046221405267715
209,11.195239812135696,8.775549875572324
210,13.7526849322021,12.435070438310504
211,12.101895622909069,1.9630734072925407
212,16.378157370258123,2.1603564023971558
213,24.205862998962402,2.362618088911404
214,17.17767484486103,2.8668030500411987
215,25.117090999148786,6.272069342434406
216,21.544497219845653,9.37288335710764
217,8.22441873070784,6.433674708008766
218,9.775712965521961,5.6520080720074475
219,12.621360000222921,8.101603016257286
220,17.699350982904434,6.849567074328661
221,17.57492670416832,4.425781413447112
222,23.689930330961943,3.2950187930837274
223,28.83937582373619,5.242864677224134
224,10.620480760931969,5.116668843664229
225,15.723971242900006,3.5782048404216766
226,16.449750743806362,2.20168468169868
227,14.625660211779177,7.124576307833195
228,8.611200929619372,6.4905366050079465
229,12.21228433959186,7.064252922718879
230,25.196402244269848,9.614429667424702
