episode,reward,epsilon
1,-3.3300328792651523,0.999
2,-6.819654393274281,0.998001
3,-6.615313490223009,0.997002999
4,-5.689042847464379,0.996005996001
5,-3.1782206199778997,0.995009990004999
6,-7.612863718158937,0.994014980014994
7,-6.6949380100243685,0.993020965034979
8,-3.524978013820586,0.9920279440699441
9,-4.6942768943272295,0.9910359161258742
10,-7.243156880545159,0.9900448802097482
11,-6.13421119322218,0.9890548353295385
12,-8.175969129484692,0.988065780494209
13,-6.247164524609648,0.9870777147137147
14,-7.929313719279189,0.986090636999001
15,-3.4771634158104674,0.9851045463620021
16,-7.686462912519035,0.98411944181564
17,-6.94015812391714,0.9831353223738244
18,-5.73131248254375,0.9821521870514506
19,-7.903176060593563,0.9811700348643991
20,-11.476211970263268,0.9801888648295347
21,-3.3938742942227167,0.9792086759647052
22,-7.7311446518783775,0.9782294672887405
23,-7.731510938695505,0.9772512378214517
24,-3.2953116415839605,0.9762739865836303
25,-4.537183585711417,0.9752977125970467
26,-6.9794031279868705,0.9743224148844496
27,-5.486008415747714,0.9733480924695651
28,-7.348114550790791,0.9723747443770956
29,-7.059095113316688,0.9714023696327185
30,-6.451436667815009,0.9704309672630859
31,-6.421524690614893,0.9694605362958227
32,-7.453443634885948,0.9684910757595269
33,-6.778495524873097,0.9675225846837673
34,-6.908656287622389,0.9665550620990835
35,-3.409539142932429,0.9655885070369844
36,-3.6048332268251566,0.9646229185299474
37,-8.396117596907887,0.9636582956114175
38,-2.2291056360939114,0.9626946373158061
39,-2.5237385335150466,0.9617319426784903
40,-4.6148167132115,0.9607702107358118
41,-6.750697728615653,0.959809440525076
42,-5.576016966373647,0.9588496310845509
43,-9.292486595629066,0.9578907814534664
44,-5.766020164037121,0.9569328906720129
45,-7.193452383735314,0.9559759577813409
46,-3.293596966892939,0.9550199818235596
47,-3.7730430063742944,0.9540649618417361
48,-2.469141582258077,0.9531108968798944
49,-3.428506873984894,0.9521577859830145
50,-7.588406700210729,0.9512056281970315
51,-7.354666260256777,0.9502544225688344
52,-6.811035955049997,0.9493041681462656
53,-7.358674520222903,0.9483548639781193
54,-6.156920732778609,0.9474065091141411
55,-9.157779615171885,0.946459102605027
56,-5.182672534645088,0.9455126435024219
57,-4.9191654330637835,0.9445671308589195
58,-4.351384340551025,0.9436225637280606
59,-6.416247418404938,0.9426789411643326
60,-6.603265516876979,0.9417362622231683
61,-6.403002625873153,0.9407945259609451
62,-6.69184867895545,0.9398537314349842
63,-8.425795345411613,0.9389138777035492
64,-8.85501550392123,0.9379749638258457
65,-5.911504592588984,0.9370369888620198
66,-6.155397213972615,0.9360999518731578
67,-7.614776935281583,0.9351638519212846
68,-2.1139493952669843,0.9342286880693633
69,-9.204018062632029,0.933294459381294
70,-7.289602016110079,0.9323611649219127
71,-5.564449610373682,0.9314288037569908
72,-6.784898482879982,0.9304973749532338
73,-5.22109548515761,0.9295668775782806
74,-5.162682451114781,0.9286373107007023
75,-7.380601691466536,0.9277086733900016
76,-6.893080094722805,0.9267809647166116
77,-5.062943560894202,0.925854183751895
78,-6.604597505900717,0.9249283295681431
79,-4.903120833590343,0.9240034012385749
80,-5.4539745743201,0.9230793978373364
81,-7.07716727875562,0.9221563184394991
82,-5.552370621931181,0.9212341621210596
83,-3.3227596162177186,0.9203129279589385
84,-7.43599112406289,0.9193926150309796
85,-6.8125992357095555,0.9184732224159486
86,-5.551265937398534,0.9175547491935327
87,-7.052043382418441,0.9166371944443392
88,-9.490173026128215,0.9157205572498949
89,-7.567391879026024,0.914804836692645
90,-6.028492265238687,0.9138900318559524
91,-9.465014908182043,0.9129761418240965
92,-7.223610690989329,0.9120631656822724
93,-6.926813310052562,0.9111511025165902
94,-2.063765511606765,0.9102399514140735
95,-1.8019671625745173,0.9093297114626595
96,-3.9430013955623506,0.9084203817511969
97,-6.590443448437422,0.9075119613694457
98,-5.0781087655979205,0.9066044494080763
99,-4.676762244289113,0.9056978449586682
100,-4.856456244468791,0.9047921471137096
101,-2.758016039840253,0.9038873549665959
102,-2.68590776752336,0.9029834676116293
103,-3.925170420370953,0.9020804841440176
104,-2.188151316338417,0.9011784036598737
105,-4.147743679433415,0.9002772252562138
106,-3.7313790510535574,0.8993769480309576
107,-3.8245537697580883,0.8984775710829266
108,-2.6554981539011666,0.8975790935118436
109,-4.516385148588538,0.8966815144183318
110,-3.2140648038800306,0.8957848329039134
111,-6.785767546062629,0.8948890480710096
112,-6.333848905444331,0.8939941590229386
113,-2.033465451951831,0.8931001648639156
114,-2.641836368710033,0.8922070646990518
115,-10.342421280748598,0.8913148576343527
116,-9.23987127222116,0.8904235427767183
117,-8.690798966900712,0.8895331192339416
118,-5.824211217626765,0.8886435861147077
119,-3.4600430758723584,0.887754942528593
120,-6.838528237568788,0.8868671875860644
121,-2.4622810951683087,0.8859803203984784
122,-3.1871304255010178,0.88509434007808
123,-8.480938309163513,0.8842092457380019
124,-5.1242551298758485,0.8833250364922639
125,-3.0292976743813127,0.8824417114557717
126,-2.3333334916375983,0.8815592697443159
127,-2.71405092706831,0.8806777104745716
128,-5.848768521057767,0.8797970327640969
129,-3.8104964525192275,0.8789172357313328
130,-5.6139400304741685,0.8780383184956015
131,-4.827826461451055,0.8771602801771059
132,-7.794488773520741,0.8762831198969288
133,-7.172284785015305,0.8754068367770318
134,-2.406300113701042,0.8745314299402548
135,-7.258195851150612,0.8736568985103146
136,-2.146986631563376,0.8727832416118043
137,-5.792838990694387,0.8719104583701925
138,-4.313238156168649,0.8710385479118223
139,-6.320529895934475,0.8701675093639105
140,-6.6525520276003665,0.8692973418545467
141,-2.865718504607833,0.8684280445126921
142,-6.950371264047969,0.8675596164681794
143,-4.2869955016961825,0.8666920568517111
144,-7.199619123550057,0.8658253647948594
145,-6.493069652477937,0.8649595394300645
146,-7.833828786305823,0.8640945798906344
147,-7.497131844987116,0.8632304853107438
148,-8.985339634974402,0.862367254825433
149,-6.316959675162504,0.8615048875706075
150,-6.411164316835591,0.8606433826830369
151,-6.4158612590685244,0.8597827393003539
152,-6.89043512059912,0.8589229565610536
153,-10.362753944204826,0.8580640336044925
154,-5.918584161953144,0.857205969570888
155,-5.547505409402599,0.8563487636013172
156,-6.77146772488594,0.8554924148377159
157,-6.935254364645609,0.8546369224228781
158,-5.6593478787124685,0.8537822855004553
159,-2.7199775112650744,0.8529285032149548
160,-6.782452199220633,0.8520755747117399
161,-8.900314052306026,0.8512234991370281
162,-5.640457595957164,0.8503722756378911
163,-5.992571974228277,0.8495219033622532
164,-3.8705769562169063,0.8486723814588909
165,-6.680549763146384,0.847823709077432
166,-6.165537069661724,0.8469758853683546
167,-8.03018746210288,0.8461289094829862
168,-9.032567842793155,0.8452827805735033
169,-7.7768364671574295,0.8444374977929298
170,-7.142670258311618,0.8435930602951368
171,-7.217690331933954,0.8427494672348417
172,-5.3782828360649475,0.8419067177676068
173,-6.90953825158152,0.8410648110498392
174,-9.33539706260219,0.8402237462387894
175,-7.817176915907852,0.8393835224925505
176,-8.650877648889105,0.838544138970058
177,-9.003739801749,0.8377055948310879
178,-6.375715522262288,0.8368678892362568
179,-8.908948417058031,0.8360310213470206
180,-9.722488066679219,0.8351949903256736
181,-4.380257302879593,0.8343597953353479
182,-2.0669993969604272,0.8335254355400126
183,-2.5516525569312916,0.8326919101044725
