Total Episodes: 69392
Total Time: 480.7 min
Final Epsilon: 0.0100
Mean Reward: -4.58 +/- 1.74
Best Reward: -0.97
Worst Reward: -12.46

======================================================================
Epoch   Mean        Std       Min       Max       Epsilon   
======================================================================
1       -6.07       2.02      -11.48    -1.74     0.7595    
2       -5.77       1.95      -10.04    -1.98     0.5745    
3       -5.61       1.87      -9.61     -1.27     0.4341    
4       -5.32       1.91      -10.22    -1.65     0.3287    
5       -5.22       1.77      -10.01    -1.72     0.2504    
6       -4.88       1.84      -9.25     -1.56     0.1890    
7       -4.83       1.69      -8.89     -1.49     0.1423    
8       -4.90       1.84      -10.23    -0.97     0.1079    
9       -4.79       1.83      -10.23    -0.99     0.0818    
10      -4.58       1.81      -9.84     -1.49     0.0619    
11      -4.57       1.69      -10.23    -0.98     0.0471    
12      -4.34       1.59      -8.67     -1.67     0.0357    
13      -4.49       1.64      -8.24     -1.50     0.0270    
14      -4.45       1.66      -8.27     -1.34     0.0205    
15      -4.30       1.58      -7.49     -1.60     0.0154    
16      -4.34       1.66      -8.31     -0.97     0.0117    
17      -4.25       1.54      -8.19     -1.50     0.0100    
18      -4.28       1.61      -8.48     -0.97     0.0100    
19      -4.41       1.64      -7.84     -1.51     0.0100    
20      -4.38       1.71      -8.38     -1.42     0.0100    
21      -4.32       1.65      -8.34     -1.50     0.0100    
22      -4.17       1.62      -8.27     -1.57     0.0100    
23      -4.13       1.58      -8.01     -1.63     0.0100    
24      -4.34       1.52      -7.73     -1.63     0.0100    
25      -4.32       1.65      -8.61     -1.35     0.0100    
26      -4.28       1.62      -9.14     -1.60     0.0100    
27      -4.31       1.62      -8.30     -1.67     0.0100    
28      -4.26       1.50      -8.25     -1.35     0.0100    
29      -4.29       1.65      -8.36     -1.49     0.0100    
30      -4.28       1.57      -9.15     -1.50     0.0100    
31      -4.42       1.72      -9.25     -1.34     0.0100    
32      -4.19       1.60      -7.81     -1.44     0.0100    
33      -4.33       1.53      -8.24     -1.71     0.0100    
34      -4.36       1.66      -8.38     -1.54     0.0100    
35      -4.47       1.68      -8.38     -1.34     0.0100    
36      -4.06       1.57      -7.38     -1.54     0.0100    
37      -4.31       1.52      -7.46     -1.71     0.0100    
38      -4.21       1.55      -8.73     -1.28     0.0100    
39      -4.33       1.68      -9.20     -1.39     0.0100    
40      -4.19       1.64      -8.22     -1.60     0.0100    
41      -4.39       1.57      -7.84     -0.97     0.0100    
42      -4.32       1.57      -8.79     -1.27     0.0100    
43      -4.45       1.62      -8.53     -1.25     0.0100    
44      -4.35       1.66      -8.76     -1.68     0.0100    
45      -4.24       1.56      -7.78     -1.49     0.0100    
46      -4.23       1.63      -7.84     -1.39     0.0100    
47      -4.37       1.60      -8.73     -1.38     0.0100    
48      -4.27       1.54      -8.05     -1.63     0.0100    
49      -4.08       1.52      -7.51     -1.32     0.0100    
50      -4.37       1.50      -8.10     -1.50     0.0100    
51      -4.22       1.56      -8.66     -1.38     0.0100    
52      -4.49       1.49      -8.19     -1.68     0.0100    
53      -4.74       1.59      -9.17     -1.65     0.0100    
54      -4.26       1.60      -10.18    -1.55     0.0100    
55      -4.49       1.55      -10.00    -1.46     0.0100    
56      -4.62       1.66      -9.61     -1.67     0.0100    
57      -4.73       1.63      -9.49     -1.47     0.0100    
58      -4.53       1.49      -8.76     -1.73     0.0100    
59      -4.31       1.61      -9.25     -1.33     0.0100    
60      -4.61       1.56      -8.32     -1.63     0.0100    
61      -4.09       1.53      -8.08     -1.27     0.0100    
62      -4.17       1.63      -8.17     -1.14     0.0100    
63      -4.54       1.60      -8.86     -1.35     0.0100    
64      -4.63       1.63      -9.87     -1.58     0.0100    
65      -4.69       1.76      -9.94     -1.54     0.0100    
66      -4.41       1.53      -8.70     -1.46     0.0100    
67      -4.61       1.67      -9.67     -1.34     0.0100    
68      -4.39       1.51      -8.44     -1.56     0.0100    
69      -4.15       1.55      -8.21     -1.49     0.0100    
70      -4.39       1.63      -9.49     -1.27     0.0100    
71      -4.40       1.59      -8.92     -1.45     0.0100    
72      -4.62       1.63      -9.10     -1.76     0.0100    
73      -4.56       1.60      -10.04    -1.49     0.0100    
74      -4.58       1.57      -9.67     -1.49     0.0100    
75      -4.43       1.59      -8.45     -1.48     0.0100    
76      -4.54       1.63      -9.22     -1.32     0.0100    
77      -4.85       1.67      -9.54     -1.33     0.0100    
78      -4.80       1.63      -9.25     -1.49     0.0100    
79      -4.78       1.71      -10.32    -1.54     0.0100    
80      -4.80       1.72      -10.05    -1.60     0.0100    
81      -4.90       1.85      -9.71     -1.34     0.0100    
82      -4.67       1.55      -8.45     -1.45     0.0100    
83      -4.54       1.58      -9.19     -1.32     0.0100    
84      -5.05       1.75      -10.01    -1.51     0.0100    
85      -4.83       1.64      -9.32     -1.58     0.0100    
86      -5.04       1.76      -10.30    -1.62     0.0100    
87      -4.84       1.73      -10.16    -1.48     0.0100    
88      -5.11       1.91      -9.99     -1.64     0.0100    
89      -4.83       1.73      -9.49     -1.25     0.0100    
90      -5.24       1.62      -9.22     -1.65     0.0100    
91      -5.19       1.87      -10.26    -1.45     0.0100    
92      -5.52       1.96      -10.09    -1.67     0.0100    
93      -5.38       2.08      -10.88    -1.70     0.0100    
94      -5.20       1.83      -9.33     -1.76     0.0100    
95      -5.04       1.84      -10.33    -1.80     0.0100    
96      -4.66       1.85      -9.09     -1.60     0.0100    
97      -5.03       1.91      -10.48    -0.97     0.0100    
98      -4.80       1.72      -9.86     -1.55     0.0100    
