episode,reward,reward_ma,reward_rolling_std,epsilon
1,-0.6101852711300804,,0.0,0.9999
2,-0.4365788273368841,,0.08680322189659814,0.9998000100000001
3,-0.5589856525016254,,0.07283469039249162,0.9997000299990001
4,-0.44146348502463445,,0.07501932665860146,0.9996000599960002
5,-0.3746201756971075,,0.08667983287836606,0.9995000999900007
6,-0.5512047013182078,,0.08295554477827814,0.9994001499800017
7,-0.3940857829796936,,0.08460531805598298,0.9993002099650037
8,-0.6189070395458591,,0.091339480276273,0.9992002799440072
9,-0.8049375299114152,,0.1292489129010294,0.9991003599160128
10,-0.9564888279608216,,0.1767108666034045,0.9990004498800211
11,-0.4626223116261898,,0.17154275541860672,0.9989005498350332
12,-0.8105849953370645,,0.17776005746275753,0.9988006597800497
13,-0.38590652649997803,,0.17884095507469638,0.9987007797140718
14,-0.4459122968509637,,0.17526109778758867,0.9986009096361004
15,-0.7555652347960771,,0.17614418515803798,0.9985010495451367
16,-0.5921684381851002,,0.17060838166887116,0.9984011994401822
17,-0.4171483162750583,,0.1696312591321458,0.9983013593202382
18,-0.5780302965545907,,0.164876037963959,0.9982015291843062
19,-0.32337853146860684,,0.16940608197584708,0.9981017090313877
20,-0.6822103192480298,,0.16747817206237478,0.9980018988604846
21,-0.8065457433388801,,0.17166494715901792,0.9979020986705985
22,-0.8545247717856866,,0.17775785785295456,0.9978023084607315
23,-0.3612277784854806,,0.17972143152056633,0.9977025282298854
24,-0.5921892330476275,,0.1759712170281796,0.9976027579770624
25,-0.5004219982080856,,0.17304484663995043,0.9975029977012647
26,-0.7635585689480774,,0.17361124896463917,0.9974032474014946
27,-0.4015334127850778,,0.17366698184703405,0.9973035070767544
28,-0.5469771532998733,,0.17060791021321917,0.9972037767260468
29,-0.7336024821549991,,0.17020062517126225,0.9971040563483742
30,-0.3865816423205717,,0.17083065795304317,0.9970043459427393
31,-0.4087253269001761,,0.1704990181880303,0.9969046455081451
32,-0.3202175386086533,,0.17319206701545786,0.9968049550435942
33,-0.3870917784216582,,0.1730649818255258,0.9967052745480899
34,-0.9215394255271552,,0.1814886760309239,0.9966056040206351
35,-0.6127493479759356,,0.1790593151196478,0.9965059434602331
36,-0.4685467833303913,,0.17727484524965842,0.9964062928658871
37,-0.6994406302171856,,0.1762576050112597,0.9963066522366005
38,-0.7290567925198042,,0.1758548950298155,0.9962070215713769
39,-0.7809767846542106,,0.17673204184523997,0.9961074008692198
40,-0.7756675356136494,,0.1772625317705916,0.9960077901291329
41,-0.8425824361606301,,0.17966646621689467,0.9959081893501199
42,-0.784001658185932,,0.18002033068366557,0.995808598531185
43,-0.9144645559878379,,0.18441936428613964,0.9957090176713319
44,-0.7744931301218936,,0.18416033862501174,0.9956094467695648
45,-0.7700298794393335,,0.18374353820904443,0.9955098858248879
46,-0.7482381710113641,,0.18289051013695462,0.9954103348363054
47,-0.36382978805932564,,0.18440438584935775,0.9953107938028217
48,-0.7603350381661609,,0.18381175520046925,0.9952112627234414
49,-0.8192552265437407,,0.18434979342706484,0.9951117415971691
50,-0.6773048324409534,-0.6141338800901668,0.1827199759141052,0.9950122304230093
