Total Episodes: 67895
Total Time: 351.3 min
Final Epsilon: 0.0100
Mean Reward: -0.39 +/- 0.17
Best Reward: -0.14
Worst Reward: -1.19

======================================================================
Epoch   Mean        Std       Min       Max       Epsilon   
======================================================================
1       -0.58       0.18      -1.02     -0.20     0.9731    
2       -0.54       0.19      -1.19     -0.19     0.9473    
3       -0.57       0.20      -1.17     -0.17     0.9225    
4       -0.54       0.18      -1.11     -0.20     0.8981    
5       -0.56       0.18      -1.06     -0.20     0.8745    
6       -0.51       0.16      -1.00     -0.16     0.8508    
7       -0.52       0.16      -1.01     -0.25     0.8274    
8       -0.51       0.16      -0.95     -0.22     0.8049    
9       -0.51       0.18      -1.00     -0.21     0.7831    
10      -0.50       0.17      -0.99     -0.20     0.7620    
11      -0.52       0.18      -0.98     -0.21     0.7418    
12      -0.49       0.18      -0.98     -0.16     0.7224    
13      -0.51       0.19      -1.05     -0.17     0.7032    
14      -0.50       0.19      -1.02     -0.18     0.6843    
15      -0.50       0.18      -0.95     -0.21     0.6664    
16      -0.50       0.18      -1.05     -0.17     0.6487    
17      -0.47       0.16      -1.00     -0.21     0.6315    
18      -0.48       0.17      -0.99     -0.21     0.6143    
19      -0.48       0.18      -1.03     -0.20     0.5980    
20      -0.49       0.16      -0.90     -0.23     0.5817    
21      -0.49       0.19      -0.93     -0.22     0.5665    
22      -0.45       0.19      -1.10     -0.16     0.5511    
23      -0.47       0.16      -0.99     -0.23     0.5360    
24      -0.45       0.20      -1.09     -0.16     0.5216    
25      -0.45       0.18      -0.94     -0.22     0.5077    
26      -0.48       0.17      -1.08     -0.18     0.4940    
27      -0.49       0.16      -0.93     -0.20     0.4806    
28      -0.44       0.19      -1.04     -0.16     0.4678    
29      -0.46       0.19      -1.09     -0.19     0.4554    
30      -0.45       0.18      -0.85     -0.17     0.4433    
31      -0.44       0.16      -0.95     -0.17     0.4316    
32      -0.46       0.19      -1.00     -0.19     0.4203    
33      -0.46       0.17      -0.97     -0.21     0.4090    
34      -0.44       0.19      -0.97     -0.19     0.3982    
35      -0.45       0.18      -0.94     -0.21     0.3877    
36      -0.45       0.17      -0.89     -0.19     0.3776    
37      -0.46       0.18      -0.92     -0.18     0.3676    
38      -0.42       0.16      -0.93     -0.20     0.3578    
39      -0.46       0.16      -1.03     -0.14     0.3483    
40      -0.46       0.16      -0.98     -0.19     0.3391    
41      -0.43       0.17      -0.94     -0.19     0.3299    
42      -0.40       0.16      -1.00     -0.16     0.3211    
43      -0.42       0.18      -0.92     -0.16     0.3124    
44      -0.41       0.17      -0.93     -0.19     0.3040    
45      -0.43       0.19      -0.97     -0.20     0.2957    
46      -0.45       0.17      -0.93     -0.18     0.2881    
47      -0.44       0.19      -0.91     -0.18     0.2804    
48      -0.41       0.17      -0.91     -0.18     0.2729    
49      -0.42       0.16      -0.94     -0.18     0.2655    
50      -0.44       0.17      -0.90     -0.18     0.2584    
51      -0.41       0.15      -0.97     -0.16     0.2514    
52      -0.39       0.17      -0.96     -0.16     0.2446    
53      -0.43       0.16      -1.00     -0.20     0.2379    
54      -0.42       0.17      -0.93     -0.18     0.2315    
55      -0.39       0.16      -0.88     -0.18     0.2254    
56      -0.41       0.17      -0.82     -0.19     0.2194    
57      -0.40       0.17      -0.93     -0.17     0.2136    
58      -0.40       0.15      -0.78     -0.14     0.2078    
59      -0.43       0.17      -0.97     -0.18     0.2023    
60      -0.39       0.15      -0.89     -0.15     0.1969    
61      -0.41       0.18      -0.93     -0.18     0.1916    
62      -0.39       0.16      -0.96     -0.19     0.1864    
63      -0.40       0.16      -0.86     -0.19     0.1814    
64      -0.41       0.17      -0.91     -0.15     0.1766    
65      -0.38       0.15      -0.91     -0.16     0.1717    
66      -0.39       0.16      -0.96     -0.16     0.1670    
67      -0.42       0.17      -0.88     -0.17     0.1626    
68      -0.38       0.16      -0.87     -0.16     0.1582    
69      -0.40       0.18      -0.98     -0.18     0.1539    
70      -0.39       0.20      -0.91     -0.16     0.1498    
71      -0.40       0.16      -0.89     -0.18     0.1458    
72      -0.39       0.17      -0.92     -0.17     0.1418    
73      -0.39       0.17      -0.94     -0.18     0.1381    
74      -0.39       0.17      -0.97     -0.18     0.1344    
75      -0.40       0.17      -0.84     -0.18     0.1307    
76      -0.38       0.16      -0.79     -0.20     0.1272    
77      -0.39       0.15      -0.82     -0.19     0.1237    
78      -0.40       0.15      -0.98     -0.18     0.1204    
79      -0.43       0.17      -1.01     -0.19     0.1172    
80      -0.40       0.16      -0.89     -0.14     0.1141    
81      -0.38       0.16      -0.76     -0.20     0.1110    
82      -0.39       0.15      -0.80     -0.19     0.1081    
83      -0.38       0.16      -0.91     -0.18     0.1051    
84      -0.39       0.17      -0.87     -0.19     0.1023    
85      -0.39       0.16      -0.85     -0.19     0.0996    
86      -0.36       0.17      -1.05     -0.16     0.0968    
87      -0.40       0.18      -0.93     -0.19     0.0943    
88      -0.38       0.17      -0.95     -0.18     0.0917    
89      -0.37       0.15      -1.00     -0.14     0.0892    
90      -0.40       0.16      -0.87     -0.17     0.0869    
91      -0.38       0.15      -0.87     -0.14     0.0846    
92      -0.38       0.17      -0.92     -0.16     0.0823    
93      -0.35       0.17      -1.05     -0.16     0.0800    
94      -0.39       0.16      -0.94     -0.18     0.0779    
95      -0.38       0.17      -0.92     -0.17     0.0758    
96      -0.39       0.16      -0.93     -0.18     0.0738    
97      -0.38       0.17      -0.89     -0.18     0.0718    
98      -0.41       0.17      -0.89     -0.19     0.0699    
99      -0.35       0.15      -0.87     -0.18     0.0680    
100     -0.37       0.14      -0.85     -0.19     0.0661    
101     -0.39       0.16      -0.85     -0.18     0.0644    
102     -0.40       0.15      -0.84     -0.18     0.0627    
103     -0.37       0.14      -0.79     -0.16     0.0609    
104     -0.41       0.17      -0.93     -0.18     0.0593    
105     -0.39       0.16      -0.84     -0.16     0.0577    
106     -0.36       0.16      -0.87     -0.18     0.0562    
107     -0.42       0.17      -1.01     -0.20     0.0547    
108     -0.32       0.14      -0.78     -0.16     0.0532    
109     -0.40       0.16      -0.86     -0.19     0.0518    
110     -0.38       0.15      -0.81     -0.14     0.0504    
111     -0.33       0.14      -0.86     -0.20     0.0491    
112     -0.38       0.17      -0.96     -0.17     0.0477    
113     -0.38       0.16      -0.89     -0.18     0.0465    
114     -0.39       0.16      -0.84     -0.16     0.0452    
115     -0.37       0.15      -0.88     -0.16     0.0440    
116     -0.35       0.14      -0.80     -0.18     0.0428    
117     -0.38       0.17      -0.86     -0.18     0.0417    
118     -0.40       0.16      -0.84     -0.18     0.0406    
119     -0.35       0.14      -0.84     -0.18     0.0395    
120     -0.36       0.13      -0.76     -0.18     0.0384    
121     -0.35       0.16      -0.78     -0.18     0.0374    
122     -0.36       0.15      -0.82     -0.19     0.0363    
123     -0.35       0.15      -0.88     -0.16     0.0353    
124     -0.35       0.19      -0.91     -0.16     0.0344    
125     -0.37       0.16      -0.82     -0.16     0.0335    
126     -0.38       0.15      -0.99     -0.17     0.0326    
127     -0.36       0.18      -1.05     -0.14     0.0317    
128     -0.34       0.14      -0.74     -0.16     0.0309    
129     -0.38       0.16      -0.89     -0.19     0.0300    
130     -0.37       0.16      -0.81     -0.18     0.0292    
131     -0.34       0.16      -0.85     -0.16     0.0284    
132     -0.36       0.14      -0.81     -0.18     0.0276    
133     -0.35       0.15      -0.80     -0.20     0.0269    
134     -0.36       0.15      -0.92     -0.18     0.0262    
135     -0.34       0.14      -0.81     -0.19     0.0255    
136     -0.37       0.16      -0.88     -0.18     0.0248    
137     -0.35       0.16      -0.80     -0.18     0.0241    
138     -0.36       0.17      -0.88     -0.17     0.0235    
139     -0.39       0.16      -0.82     -0.20     0.0229    
140     -0.38       0.16      -0.91     -0.17     0.0223    
141     -0.39       0.18      -0.80     -0.15     0.0217    
142     -0.39       0.15      -0.84     -0.18     0.0211    
143     -0.37       0.15      -0.88     -0.18     0.0205    
144     -0.39       0.17      -0.88     -0.18     0.0200    
145     -0.35       0.15      -0.81     -0.17     0.0195    
146     -0.40       0.16      -0.88     -0.22     0.0190    
147     -0.39       0.16      -0.82     -0.20     0.0185    
148     -0.36       0.16      -0.86     -0.20     0.0180    
149     -0.35       0.15      -0.86     -0.17     0.0175    
150     -0.37       0.15      -0.83     -0.20     0.0170    
151     -0.36       0.15      -0.92     -0.19     0.0166    
152     -0.35       0.15      -0.90     -0.15     0.0161    
153     -0.34       0.13      -0.78     -0.18     0.0157    
154     -0.37       0.16      -0.80     -0.17     0.0153    
155     -0.35       0.14      -0.87     -0.16     0.0148    
156     -0.36       0.17      -0.83     -0.16     0.0145    
157     -0.35       0.15      -0.76     -0.18     0.0141    
158     -0.38       0.14      -0.87     -0.19     0.0137    
159     -0.34       0.17      -0.90     -0.16     0.0133    
160     -0.36       0.16      -0.90     -0.16     0.0130    
161     -0.39       0.15      -0.82     -0.18     0.0126    
162     -0.35       0.14      -0.86     -0.22     0.0123    
163     -0.38       0.15      -0.89     -0.19     0.0119    
164     -0.36       0.15      -0.81     -0.18     0.0116    
165     -0.38       0.15      -0.78     -0.19     0.0113    
166     -0.34       0.12      -0.79     -0.16     0.0110    
167     -0.37       0.17      -0.90     -0.18     0.0107    
168     -0.37       0.15      -0.81     -0.19     0.0104    
169     -0.37       0.14      -0.79     -0.18     0.0102    
170     -0.37       0.16      -0.87     -0.16     0.0100    
171     -0.38       0.16      -0.82     -0.18     0.0100    
172     -0.37       0.15      -0.82     -0.17     0.0100    
173     -0.39       0.15      -0.87     -0.18     0.0100    
174     -0.37       0.15      -0.84     -0.17     0.0100    
175     -0.33       0.17      -0.93     -0.16     0.0100    
176     -0.36       0.14      -0.81     -0.20     0.0100    
177     -0.39       0.16      -0.82     -0.18     0.0100    
178     -0.37       0.16      -0.81     -0.18     0.0100    
179     -0.37       0.16      -0.80     -0.18     0.0100    
180     -0.35       0.15      -0.81     -0.16     0.0100    
181     -0.37       0.15      -0.80     -0.18     0.0100    
182     -0.37       0.17      -0.87     -0.19     0.0100    
183     -0.34       0.15      -0.88     -0.19     0.0100    
184     -0.36       0.15      -0.81     -0.19     0.0100    
185     -0.35       0.14      -0.79     -0.18     0.0100    
186     -0.37       0.14      -0.80     -0.14     0.0100    
187     -0.35       0.14      -0.75     -0.18     0.0100    
188     -0.37       0.15      -0.79     -0.19     0.0100    
189     -0.36       0.16      -0.81     -0.18     0.0100    
190     -0.34       0.14      -0.78     -0.18     0.0100    
191     -0.35       0.15      -0.86     -0.18     0.0100    
192     -0.37       0.16      -0.78     -0.19     0.0100    
193     -0.37       0.16      -0.91     -0.17     0.0100    
194     -0.35       0.14      -0.77     -0.21     0.0100    
195     -0.34       0.15      -0.87     -0.19     0.0100    
196     -0.36       0.16      -0.94     -0.19     0.0100    
197     -0.36       0.16      -0.88     -0.19     0.0100    
198     -0.34       0.14      -0.96     -0.18     0.0100    
199     -0.35       0.14      -0.78     -0.18     0.0100    
200     -0.36       0.15      -0.81     -0.18     0.0100    
201     -0.37       0.18      -0.93     -0.19     0.0100    
202     -0.39       0.16      -0.85     -0.14     0.0100    
203     -0.35       0.13      -0.92     -0.14     0.0100    
204     -0.37       0.17      -0.89     -0.16     0.0100    
205     -0.36       0.18      -0.92     -0.16     0.0100    
206     -0.38       0.16      -0.87     -0.18     0.0100    
207     -0.36       0.16      -0.87     -0.14     0.0100    
208     -0.34       0.13      -0.98     -0.16     0.0100    
209     -0.37       0.16      -0.91     -0.16     0.0100    
210     -0.38       0.18      -0.94     -0.18     0.0100    
211     -0.40       0.15      -0.78     -0.20     0.0100    
212     -0.35       0.17      -0.88     -0.16     0.0100    
213     -0.37       0.15      -0.92     -0.14     0.0100    
214     -0.37       0.15      -0.80     -0.18     0.0100    
215     -0.35       0.15      -0.85     -0.18     0.0100    
216     -0.37       0.15      -0.76     -0.17     0.0100    
217     -0.36       0.16      -0.77     -0.17     0.0100    
218     -0.37       0.16      -0.84     -0.17     0.0100    
219     -0.35       0.14      -0.74     -0.19     0.0100    
220     -0.36       0.15      -0.93     -0.18     0.0100    
221     -0.34       0.15      -0.81     -0.14     0.0100    
222     -0.35       0.15      -0.90     -0.21     0.0100    
223     -0.35       0.15      -0.89     -0.16     0.0100    
224     -0.34       0.14      -0.78     -0.16     0.0100    
225     -0.36       0.18      -0.89     -0.16     0.0100    
226     -0.35       0.17      -0.86     -0.16     0.0100    
227     -0.37       0.16      -0.82     -0.18     0.0100    
228     -0.37       0.14      -0.78     -0.14     0.0100    
229     -0.36       0.16      -0.84     -0.18     0.0100    
230     -0.36       0.16      -0.81     -0.18     0.0100    
231     -0.36       0.16      -0.81     -0.18     0.0100    
232     -0.36       0.15      -0.85     -0.16     0.0100    
233     -0.39       0.15      -0.78     -0.14     0.0100    
234     -0.38       0.16      -0.80     -0.16     0.0100    
235     -0.36       0.17      -0.92     -0.16     0.0100    
