epoch,episode_count,mean_reward,std_reward,min_reward,max_reward,epsilon,time
1,273,-0.5784782503167428,0.17797193691203955,-1.0225672184554895,-0.20460520370653038,0.9730679486215463,135.56382203102112
2,268,-0.5431689331577446,0.18624216930052898,-1.1907513153373952,-0.18605072158392344,0.9473348053131928,115.04425549507141
3,266,-0.5745482319406274,0.19950632814978492,-1.1654963565924192,-0.1663377748840185,0.9224666686462353,111.32502007484436
4,268,-0.5396334872273996,0.18251016960029917,-1.1080936278839608,-0.2032073453993693,0.898071694980645,101.5526511669159
5,266,-0.5595765830537538,0.17581496102960018,-1.0569097309753457,-0.20390481393272525,0.8744967460584195,95.20162844657898
6,275,-0.512877960614687,0.16495263613850256,-1.0009586599605758,-0.15522295747630088,0.8507745743217779,86.86512517929077
7,279,-0.521734573566154,0.15707824139111845,-1.007724516874776,-0.24811160751562333,0.8273648770554614,97.26089215278625
8,275,-0.5061907805440723,0.1605124574079509,-0.9450016703136257,-0.22116620185400937,0.8049212352799624,86.11544346809387
9,275,-0.5101746180731718,0.17565440532575605,-0.9965808450453799,-0.20559228836459859,0.7830864144371814,97.28533983230591
10,273,-0.5040096108966626,0.17483412604254533,-0.9936933463702182,-0.20086016960349978,0.7619962908897898,102.06368923187256
11,269,-0.5223082958352203,0.17698162289153846,-0.9762223182473344,-0.21185200248762454,0.7417708314626564,119.45750594139099
12,265,-0.4918823160020971,0.18475887000391467,-0.9750977617623342,-0.15859647835264723,0.7223711159879919,112.03224158287048
13,269,-0.5067430304356412,0.18571773019561535,-1.051941274287337,-0.17446355217005402,0.7031974167555616,115.94923853874207
14,272,-0.5019744116487123,0.19173698983436702,-1.0201801438698004,-0.17929801291378575,0.6843273005283582,108.90251564979553
15,265,-0.5039096992259816,0.17802920296688096,-0.9510936638035123,-0.21223099351310604,0.6664299198836944,99.74642181396484
16,270,-0.5031700952564925,0.17802968909285516,-1.0489515493081814,-0.17446355217005402,0.6486761784351415,97.81922841072083
17,268,-0.4682383028185359,0.1618542248169749,-0.9995769897173772,-0.20916775459948228,0.6315216959716775,90.83478832244873
18,276,-0.4796819812949504,0.16697703000018688,-0.9893954561014786,-0.2132733874593999,0.614329185587588,105.87773394584656
19,270,-0.4818166081663995,0.17902326812481287,-1.0257377666971919,-0.20054633342231545,0.5979634114831991,107.87377309799194
20,276,-0.4862008616438517,0.15523536248093975,-0.8991267865956364,-0.22562717738939364,0.5816844899088381,111.94573616981506
21,264,-0.491664044300431,0.1913478216012183,-0.9322806971388562,-0.2187989252250392,0.566528204822331,109.28713774681091
22,276,-0.44593272339404316,0.18542117482523265,-1.103862456976942,-0.15859647835264723,0.551105073508845,110.34546399116516
23,277,-0.46960682533211345,0.16387788141992435,-0.9949351562019174,-0.22672502479752976,0.5360482104544525,105.51449584960938
24,273,-0.45348520720555374,0.19910479155140082,-1.0927624226519537,-0.16273826843262973,0.5216113325091649,108.89730525016785
25,271,-0.4476669530173227,0.1799647861611568,-0.9403061725761762,-0.22008828444243855,0.5076647971852332,107.52920722961426
26,273,-0.48168071920897987,0.16801958456260999,-1.0812531758621449,-0.18339797642276046,0.49399234278440785,133.11268305778503
27,274,-0.48666997202615103,0.16419045303528454,-0.9326539273910789,-0.20106890747061693,0.48064004681641315,121.37563562393188
28,271,-0.4356738119379216,0.18897058278709755,-1.0441164800928813,-0.15522295747630088,0.46778897749862103,112.61982011795044
29,269,-0.45601411294346883,0.18575429768026658,-1.088546214905735,-0.1886756034499281,0.45537258243479406,107.07078838348389
30,268,-0.4484704669407153,0.18234418334028663,-0.847190522828191,-0.1663377748840185,0.44333008536242663,112.90690875053406
31,269,-0.4363739399683208,0.16407035131934036,-0.9506816376312275,-0.1663377748840185,0.431562895992181,114.3403685092926
32,265,-0.4570529132094753,0.19035731901811204,-1.0022435724147416,-0.19064568854295194,0.4202761251506238,119.87332677841187
33,271,-0.4577262625450486,0.16774598463121862,-0.972962849502943,-0.2075877801439003,0.4090390306706734,110.76909756660461
34,269,-0.44301087554041246,0.1856374629475669,-0.9708119433941199,-0.19498503751212093,0.39818201939928904,115.67026901245117
35,267,-0.4504064920136839,0.17886153796929047,-0.9403199173010708,-0.20748559645774536,0.38769071707924396,87.21975708007812
36,265,-0.44788219825173875,0.17038051914287555,-0.8898471173443009,-0.1907238045312603,0.37755134615160046,94.17619037628174
37,267,-0.45871121056465064,0.18058935719031702,-0.917668314659752,-0.18201631343823133,0.36760362093841203,88.67399668693542
38,269,-0.4215614853773756,0.16160318266953658,-0.925321203556535,-0.1954774443924964,0.3578464184304115,81.03746914863586
39,269,-0.45844382059054467,0.16370000223351047,-1.033861318963795,-0.14125567919938864,0.34834819868362293,81.84301567077637
40,269,-0.45928009532985187,0.15966011274747757,-0.9838104792082959,-0.19462831169386074,0.33910208758935073,79.9894654750824
41,275,-0.433987039381197,0.17381970909579705,-0.9448262912357335,-0.18818800118226214,0.3299033821689983,83.16034960746765
42,272,-0.4026627655657728,0.1621273918767393,-1.0045281144557403,-0.15522295747630088,0.32105051238173543,77.5245270729065
43,273,-0.42151182273157367,0.18381615611382926,-0.9164985798233823,-0.16174061701958556,0.31240396348719124,83.54752826690674
44,272,-0.41029815101610934,0.17312125110096874,-0.9250582349153056,-0.19064568854295194,0.3040206859603173,78.44743514060974
45,276,-0.42961132571692706,0.1872544380795846,-0.9658100965210458,-0.20054633342231545,0.2957440442650413,82.83536100387573
46,262,-0.4541422090212042,0.16962245721028715,-0.9289917090369243,-0.1816363423603949,0.2880957974420474,84.45729875564575
47,271,-0.43854208813489876,0.18783458863934124,-0.9103384267891841,-0.18025561418423203,0.2803928623919708,84.01222920417786
48,270,-0.41269567752952535,0.16933465703223333,-0.9081725222864839,-0.18476343921178562,0.27292317618131023,79.94435572624207
49,276,-0.42194097328130137,0.16450963106548658,-0.9370298873122767,-0.1842463161897026,0.2654931313063888,83.03768539428711
50,271,-0.4380826058856932,0.16548381544466165,-0.9033968161173715,-0.18353709348220332,0.2583945329760686,82.07987260818481
51,276,-0.4104621536342635,0.14650398548668742,-0.9703682716784099,-0.15522295747630088,0.2513600150494157,80.18124580383301
52,274,-0.39232288325569875,0.16800978858355584,-0.9620572801213191,-0.15859647835264723,0.24456591517219486,79.63159036636353
53,276,-0.4262271899678614,0.16331679498402762,-1.0038638235226462,-0.20093837477378695,0.2379078667424846,85.11103773117065
54,271,-0.42376069896799945,0.17066533127201872,-0.9282020040432183,-0.1842463161897026,0.23154682690194983,84.56751847267151
55,271,-0.38663682098659896,0.16151183057583912,-0.881572691880766,-0.1782425446785637,0.22535586478270647,82.94497179985046
56,270,-0.41418702232956506,0.1691379021778,-0.8166235299321154,-0.1936778204425737,0.21935236818404638,82.46078944206238
57,268,-0.4027673366178693,0.17038780700145967,-0.9265451121022761,-0.1663377748840185,0.21355151333778116,83.89224147796631
58,271,-0.4037978961216639,0.146647452984942,-0.7817367049561651,-0.14125567919938864,0.2078416992700585,80.61684656143188
59,269,-0.42611569423839796,0.17363711126498171,-0.9748471156262453,-0.18044675611847696,0.20232501381356588,84.02578234672546
60,273,-0.3903892038873703,0.15037604635387467,-0.8888859080070295,-0.14748853140222268,0.19687598614639276,79.460440158844
61,270,-0.41323491988236705,0.17683514056445948,-0.9326835294959062,-0.1782425446785637,0.19163119558224465,82.33830142021179
62,277,-0.3919685679816959,0.1608823505100969,-0.9606503419644574,-0.18892713208713974,0.18639559749482276,79.96767354011536
63,271,-0.39693140440861185,0.15598756416945145,-0.8636883474916554,-0.19068370971925475,0.181411862244705,79.59653306007385
64,270,-0.4079739966581291,0.17029419371193122,-0.9116878566394009,-0.14748853140222268,0.17657903706399405,81.73875594139099
65,279,-0.3845157003709458,0.1475257736385645,-0.9121689076168586,-0.15522295747630088,0.1717203330946834,77.04687690734863
66,276,-0.3883319382523502,0.15559700274786883,-0.9633860453240075,-0.15522295747630088,0.16704542860807337,78.53473448753357
67,268,-0.41800108684365184,0.17394433122398353,-0.883078481263038,-0.17446355217005402,0.16262785020620915,83.96133947372437
68,276,-0.3848428336051876,0.16181516326559087,-0.8676084527340113,-0.16176068050168518,0.15820047895159162,80.88113188743591
69,275,-0.4026142173674858,0.17801744771747446,-0.9789862548714988,-0.18424658713162867,0.15390902910066465,84.68538451194763
70,273,-0.38849557655471834,0.19529015588000537,-0.9147506538775578,-0.16174061701958556,0.14976394322131753,81.02793502807617
71,270,-0.3982879338095718,0.16275104461587872,-0.8892693558417729,-0.18476343921178562,0.14577422090103037,80.14356446266174
72,274,-0.3938727425580595,0.16911290799196646,-0.9224757814983482,-0.17483174832401033,0.14183403727186045,80.92104482650757
73,268,-0.39203872413954727,0.17067072453382737,-0.9415631371079558,-0.17929801291378575,0.1380831834776426,79.50041842460632
74,273,-0.3872389305012777,0.16810790696530808,-0.9689075396206724,-0.1782425446785637,0.1343643200857222,80.93340253829956
75,274,-0.4010453350665216,0.17271995947112012,-0.8416247519571289,-0.18424658713162867,0.13073253875241087,82.89657306671143
76,275,-0.3775923320825618,0.1582847950426455,-0.7923532433140749,-0.20054633342231545,0.12718620224535152,79.98677086830139
