method,n_feasible,n_rows,note,completion_time,total_travel_time,total_charging_time,total_waiting_at_customers,n_station_visits,total_energy_consumed,total_energy_regenerated,total_energy_charged,total_distance
DiscretePPO,12,147,conditional_on_feasibility,637.1546322960024,129.3147895525082,129.46847354357556,245.87136919991872,1.75,137.86461876928544,3.244656230336503,83.29815755940632,129.3147895525082
HybridPPO,17,147,conditional_on_feasibility,767.6960910417738,120.80837368556344,171.2047536281486,288.6241401986501,1.2941176470588236,129.9839184965419,2.856952443185851,61.761949870069735,120.80837368556344
HybridPPO_A2,15,147,conditional_on_feasibility,722.3208357413557,114.76521808385523,91.78832110377967,331.76729655372105,1.5333333333333334,126.06482382755624,5.370459550984263,57.903053836710896,114.76521808385523
HybridPPO_A3,16,147,conditional_on_feasibility,737.6330547726504,120.33266780361998,168.23448664890833,278.4409003201222,1.25,129.07107670031155,2.4625379066842417,62.80308922339711,120.33266780361998
HybridPPO_A4,18,147,conditional_on_feasibility,780.3267362441733,117.60906130103285,177.1422612504699,308.908747026004,1.4444444444444444,128.36994259763034,4.2197333023080255,64.84817418494077,117.60906130103285
HybridPPO_A5,12,147,conditional_on_feasibility,754.4985945372119,118.72995668593585,177.47400964157168,289.12796154303777,1.3333333333333333,127.03533553496493,2.7819132305563965,63.179910668564325,118.72995668593585
