method,n_routes,n_seeds,n_rows,route_weighted_feasibility,parent_balanced_feasibility,feasibility_ci95_lo,feasibility_ci95_hi,route_weighted_completion_all,parent_balanced_completion_all,completion_all_ci95_lo,completion_all_ci95_hi,seed_sd_completion_all,uncertainty,seeds
DiscretePPO,49,3,147,0.08163265306122448,0.08950617283950617,0.02829218106995885,0.18569958847736626,1053.577248894912,1152.264980889893,696.8136082438252,1690.6141307327603,13.132927916339167,hierarchical_seed_then_parent,"42,43,44"
HybridPPO,49,3,147,0.11564625850340136,0.08281893004115226,0.0411522633744856,0.1286008230452675,1058.1689356987085,1169.5939446395948,718.1265899298024,1715.0027830748104,4.074445543681422,hierarchical_seed_then_parent,"42,43,44"
HybridPPO_A2,49,3,147,0.10204081632653061,0.09567901234567901,0.040123456790123455,0.1574074074074074,1050.0463437831318,1152.2562405192195,694.7716813035064,1699.4043013513535,7.51189679261837,hierarchical_seed_then_parent,"42,43,44"
HybridPPO_A3,49,3,147,0.10884353741496598,0.08076131687242798,0.04063786008230452,0.12654320987654322,1058.0825093630096,1169.653354602167,718.0713015101452,1715.384830905764,3.496405257087947,hierarchical_seed_then_parent,"42,43,44"
HybridPPO_A4,49,3,147,0.12244897959183673,0.08487654320987655,0.04475308641975309,0.1311728395061728,1056.529804438062,1169.5834211602826,718.7370807725976,1716.1815273570837,4.781735855172309,hierarchical_seed_then_parent,"42,43,44"
HybridPPO_A5,49,3,147,0.08163265306122448,0.05658436213991769,0.012345679012345678,0.1080246913580247,1059.4012458125615,1170.786378503895,720.4339315339279,1717.036450487139,3.6390104535918906,hierarchical_seed_then_parent,"42,43,44"
