method,n_feasible,n_rows,note,completion_time,total_travel_time,total_charging_time,total_waiting_at_customers,n_station_visits,total_energy_consumed,total_energy_regenerated,total_energy_charged,total_distance
GreedyMinimumSufficientCharge,7,196,conditional_on_feasibility,1159.2559482894558,116.33784337032121,175.87304153302844,584.1879205289634,1.5714285714285714,134.44951037722842,9.540761557911173,51.131534533602974,116.33784337032121
HybridPPO,76,980,conditional_on_feasibility,762.4206621409728,113.1157934661589,148.55841512953842,312.19382196632796,1.2894736842105263,121.93758345015048,3.475240311377287,56.32322826237244,113.1157934661589
