split,method,route_id,base_instance,n_customers,network_group,feasible,reason,completion_time,n_station_visits,consecutive_same_station,repeat_energy_added,repeat_time_added,loop_guard_hit,return_value,horizon,n_continue,n_charge
train,GreedyMinimumSufficientCharge,rc104C25_NL__v0,rc104,5,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,51,0,0.0,0.0,True,-240.0,240.0,4,51
train,GreedyMinimumSufficientCharge,rc104C25_NL__v1,rc104,8,Medium_Network,False,MASK_VIOLATION,240.0,2,0,0.0,0.0,False,-240.0,240.0,7,2
train,GreedyMinimumSufficientCharge,rc104C25_NL__v2,rc104,6,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,52,0,0.0,0.0,True,-240.0,240.0,4,52
train,GreedyMinimumSufficientCharge,rc104C25_NL__v3,rc104,6,Medium_Network,False,ZERO_CHARGE_NOOP,240.0,3,0,0.0,0.0,False,-240.0,240.0,6,3
train,GreedyMinimumSufficientCharge,rc106C25_NL__v0,rc106,6,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,1,0,0.0,0.0,False,-240.0,240.0,6,1
train,GreedyMinimumSufficientCharge,rc106C25_NL__v1,rc106,5,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,51,0,0.0,0.0,True,-240.0,240.0,4,51
train,GreedyMinimumSufficientCharge,rc106C25_NL__v2,rc106,5,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,0,0,0.0,0.0,False,-240.0,240.0,3,0
train,GreedyMinimumSufficientCharge,rc106C25_NL__v3,rc106,4,Medium_Network,False,MASK_VIOLATION,240.0,3,0,0.0,0.0,False,-240.0,240.0,3,3
train,GreedyMinimumSufficientCharge,rc106C25_NL__v4,rc106,5,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,0,0,0.0,0.0,False,-240.0,240.0,4,0
train,GreedyMinimumSufficientCharge,c104C10_L__v0,c104,10,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0.0,0.0,False,-1236.0,1236.0,3,0
train,GreedyMinimumSufficientCharge,c104C10_NL__v0,c104,10,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,2,0,0.0,0.0,False,-1236.0,1236.0,4,2
train,GreedyMinimumSufficientCharge,c104C10_VG__v0,c104,10,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,2,0,0.0,0.0,False,-1236.0,1236.0,4,2
train,GreedyMinimumSufficientCharge,r103C10_L__v0,r103,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,3,0
train,GreedyMinimumSufficientCharge,r103C10_L__v1,r103,5,Small_Network,False,MASK_VIOLATION,230.0,1,0,0.0,0.0,False,-230.0,230.0,4,1
train,GreedyMinimumSufficientCharge,r103C10_NL__v0,r103,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,3,0
train,GreedyMinimumSufficientCharge,r103C10_NL__v1,r103,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,5,0
train,GreedyMinimumSufficientCharge,r103C10_VG__v0,r103,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,4,0
train,GreedyMinimumSufficientCharge,r103C10_VG__v1,r103,5,Small_Network,False,ZERO_CHARGE_NOOP,230.0,1,0,0.0,0.0,False,-230.0,230.0,4,1
train,GreedyMinimumSufficientCharge,r203C10_L__v0,r203,10,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,1,0,0.0,0.0,False,-1000.0,1000.0,5,1
train,GreedyMinimumSufficientCharge,r203C10_NL__v0,r203,10,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,0,0,0.0,0.0,False,-1000.0,1000.0,5,0
train,GreedyMinimumSufficientCharge,r203C10_VG__v0,r203,10,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,1,0,0.0,0.0,False,-1000.0,1000.0,5,1
train,GreedyMinimumSufficientCharge,rc201C10_L__v0,rc201,10,Small_Network,False,NO_FEASIBLE_ACTION,960.0,1,0,0.0,0.0,False,-960.0,960.0,2,1
train,GreedyMinimumSufficientCharge,rc201C10_NL__v0,rc201,10,Small_Network,False,NO_FEASIBLE_ACTION,960.0,1,0,0.0,0.0,False,-960.0,960.0,2,1
train,GreedyMinimumSufficientCharge,rc201C10_VG__v0,rc201,10,Small_Network,False,NO_FEASIBLE_ACTION,960.0,1,0,0.0,0.0,False,-960.0,960.0,2,1
train,GreedyMinimumSufficientCharge,c103C15_L__v0,c103,7,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0.0,0.0,False,-1236.0,1236.0,4,1
train,GreedyMinimumSufficientCharge,c103C15_L__v1,c103,8,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0.0,0.0,False,-1236.0,1236.0,4,1
