block,method,route_id,duration,gap_percent,feasible,reference_label,note
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_8,6.523193485954396,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_8,6.755122113308365,3.5554460840898474,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_8,8.120776631680945,24.49081342085639,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_9,7.147176810565701,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_9,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_9,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_10,6.060390115575666,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_10,6.060390115575666,0.0,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_10,6.648719572507295,9.707781936670656,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_11,5.860834156138077,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_11,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_11,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_12,9.604219884750933,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_12,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_12,10.773663460236124,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_13,7.815371822414414,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_13,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
