Total Episodes: 94949
Total Time: 453.6 min
Final Epsilon: 0.0100
Mean Reward: -0.39 +/- 0.17
Best Reward: -0.14
Worst Reward: -1.22

======================================================================
Epoch   Mean        Std       Min       Max       Epsilon   
======================================================================
1       -0.54       0.16      -1.04     -0.25     0.9732    
2       -0.55       0.18      -1.06     -0.20     0.9471    
3       -0.53       0.17      -0.98     -0.19     0.9215    
4       -0.55       0.17      -1.07     -0.19     0.8966    
5       -0.54       0.19      -1.03     -0.21     0.8728    
6       -0.53       0.17      -1.04     -0.15     0.8493    
7       -0.55       0.19      -1.09     -0.17     0.8266    
8       -0.55       0.19      -1.12     -0.20     0.8049    
9       -0.55       0.20      -1.00     -0.21     0.7838    
10      -0.50       0.17      -1.03     -0.16     0.7623    
11      -0.51       0.17      -1.02     -0.20     0.7418    
12      -0.50       0.18      -1.01     -0.21     0.7214    
13      -0.50       0.19      -1.08     -0.18     0.7019    
14      -0.49       0.17      -1.02     -0.19     0.6830    
15      -0.51       0.18      -1.03     -0.20     0.6649    
16      -0.50       0.18      -1.00     -0.18     0.6473    
17      -0.49       0.18      -0.94     -0.19     0.6300    
18      -0.46       0.19      -1.03     -0.20     0.6129    
19      -0.46       0.16      -1.00     -0.21     0.5962    
20      -0.47       0.19      -1.01     -0.16     0.5801    
21      -0.47       0.17      -1.06     -0.21     0.5644    
22      -0.50       0.18      -0.98     -0.18     0.5492    
23      -0.44       0.17      -0.94     -0.18     0.5343    
24      -0.44       0.17      -0.99     -0.20     0.5200    
25      -0.46       0.18      -0.94     -0.20     0.5061    
26      -0.46       0.17      -1.06     -0.16     0.4923    
27      -0.48       0.18      -1.00     -0.19     0.4793    
28      -0.47       0.19      -1.01     -0.17     0.4666    
29      -0.44       0.17      -0.93     -0.18     0.4541    
30      -0.45       0.19      -0.97     -0.19     0.4421    
31      -0.47       0.18      -1.05     -0.19     0.4304    
32      -0.45       0.18      -1.13     -0.18     0.4188    
33      -0.46       0.18      -0.91     -0.18     0.4077    
34      -0.47       0.18      -1.07     -0.14     0.3970    
35      -0.42       0.17      -0.96     -0.17     0.3864    
36      -0.45       0.17      -1.02     -0.22     0.3760    
37      -0.44       0.17      -0.94     -0.18     0.3662    
38      -0.43       0.17      -0.97     -0.18     0.3564    
39      -0.42       0.19      -0.97     -0.16     0.3467    
40      -0.43       0.16      -0.96     -0.16     0.3374    
41      -0.41       0.18      -1.01     -0.18     0.3284    
42      -0.45       0.18      -1.03     -0.19     0.3199    
43      -0.41       0.17      -0.99     -0.18     0.3111    
44      -0.41       0.16      -0.87     -0.16     0.3028    
45      -0.40       0.16      -0.88     -0.18     0.2946    
46      -0.40       0.17      -0.97     -0.15     0.2868    
47      -0.43       0.18      -0.93     -0.20     0.2793    
48      -0.39       0.15      -0.89     -0.16     0.2717    
49      -0.39       0.15      -0.88     -0.18     0.2644    
50      -0.38       0.16      -1.01     -0.16     0.2572    
51      -0.40       0.15      -0.89     -0.14     0.2504    
52      -0.41       0.16      -1.01     -0.18     0.2438    
53      -0.41       0.17      -0.90     -0.18     0.2372    
54      -0.41       0.16      -0.93     -0.18     0.2307    
55      -0.41       0.15      -0.92     -0.19     0.2245    
56      -0.39       0.15      -0.81     -0.14     0.2185    
57      -0.41       0.17      -0.90     -0.18     0.2127    
58      -0.37       0.14      -0.81     -0.18     0.2070    
59      -0.40       0.16      -0.90     -0.14     0.2015    
60      -0.40       0.16      -0.84     -0.20     0.1961    
61      -0.39       0.16      -0.94     -0.18     0.1910    
62      -0.40       0.17      -1.03     -0.18     0.1859    
63      -0.41       0.18      -0.94     -0.17     0.1809    
64      -0.38       0.15      -0.90     -0.17     0.1760    
65      -0.41       0.17      -0.98     -0.18     0.1712    
66      -0.41       0.17      -0.90     -0.20     0.1667    
67      -0.40       0.17      -0.91     -0.18     0.1622    
68      -0.42       0.16      -0.94     -0.18     0.1578    
69      -0.39       0.18      -0.96     -0.16     0.1536    
70      -0.38       0.16      -0.83     -0.19     0.1495    
71      -0.37       0.16      -0.82     -0.19     0.1455    
72      -0.38       0.17      -0.93     -0.18     0.1416    
73      -0.38       0.16      -0.85     -0.16     0.1378    
74      -0.41       0.18      -0.89     -0.17     0.1342    
75      -0.39       0.19      -0.95     -0.14     0.1307    
76      -0.37       0.16      -0.95     -0.16     0.1272    
77      -0.37       0.15      -0.89     -0.18     0.1238    
78      -0.39       0.16      -0.91     -0.17     0.1206    
79      -0.43       0.15      -0.94     -0.17     0.1174    
80      -0.39       0.18      -1.11     -0.19     0.1143    
81      -0.40       0.17      -0.91     -0.17     0.1113    
82      -0.36       0.17      -0.90     -0.18     0.1083    
83      -0.40       0.16      -0.97     -0.14     0.1054    
84      -0.40       0.16      -0.93     -0.19     0.1026    
85      -0.39       0.16      -0.81     -0.18     0.1000    
86      -0.41       0.17      -1.00     -0.16     0.0973    
87      -0.37       0.15      -0.80     -0.18     0.0946    
88      -0.38       0.17      -0.92     -0.16     0.0921    
89      -0.40       0.16      -1.05     -0.18     0.0896    
90      -0.38       0.15      -0.91     -0.18     0.0873    
91      -0.39       0.17      -0.89     -0.19     0.0849    
92      -0.38       0.15      -0.76     -0.14     0.0827    
93      -0.41       0.15      -0.90     -0.21     0.0805    
94      -0.40       0.15      -0.88     -0.19     0.0783    
95      -0.37       0.16      -0.86     -0.16     0.0763    
96      -0.38       0.15      -0.79     -0.17     0.0742    
97      -0.37       0.18      -0.95     -0.19     0.0722    
98      -0.36       0.14      -0.90     -0.16     0.0703    
99      -0.38       0.16      -1.00     -0.18     0.0684    
100     -0.35       0.15      -0.79     -0.18     0.0665    
